# Alan Walker - Releases, By Alan Walker, https://open.spotify.com/playlist/4CMmmIRrtAcDc8LuCUlmg6
title,album,artist,id,url
Fade,Fade,Alan Walker,2lfPecqFbH8X4lHSpTxt8l,https://open.spotify.com/track/2lfPecqFbH8X4lHSpTxt8l
Force,Force,Alan Walker,4YhITuwINLCfXYB2WCXbCZ,https://open.spotify.com/track/4YhITuwINLCfXYB2WCXbCZ
Spectre,Spectre,Alan Walker,0lMrWcrVXHPEuVBuc0nRzZ,https://open.spotify.com/track/0lMrWcrVXHPEuVBuc0nRzZ
Faded,Faded,Alan Walker,1brwdYwjltrJo7WHpIvbYt,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
Faded - Instrumental,Faded,Alan Walker,4uMBwYUqYYHOMrY0MgoUmQ,https://open.spotify.com/track/4uMBwYUqYYHOMrY0MgoUmQ
Faded (Restrung),Faded (Restrung),Alan Walker,3TSqZ7HH74ehTLXB3vVcgH,https://open.spotify.com/track/3TSqZ7HH74ehTLXB3vVcgH
Faded - Dash Berlin Remix,Faded (Remixes),"Alan Walker, Dash Berlin",1uWqDjZATn502optPrBt4S,https://open.spotify.com/track/1uWqDjZATn502optPrBt4S
Faded - Luke Christopher Remix,Faded (Remixes),"Alan Walker, Luke Christopher",2WL3Sp2wF47LwBYsQl68NP,https://open.spotify.com/track/2WL3Sp2wF47LwBYsQl68NP
Faded - Tiesto's Deep House Remix,Faded (Remixes),"Alan Walker, Tiësto",372oXYl50vX5J9I8yVJZI2,https://open.spotify.com/track/372oXYl50vX5J9I8yVJZI2
Faded - Tiesto's Northern Lights Remix,Faded (Remixes),"Alan Walker, Tiësto",4jvJPG5YNwenlOmyLWSqaq,https://open.spotify.com/track/4jvJPG5YNwenlOmyLWSqaq
Faded - Tungevaag & Raaban Remix,Faded (Remixes),"Alan Walker, Tungevaag & Raaban",6IAJ2QQ1unvKrEs6hCmG07,https://open.spotify.com/track/6IAJ2QQ1unvKrEs6hCmG07
Faded - Y&V Remix,Faded (Remixes),"Alan Walker, Y&V",7A3dLop9L0X8K6Ds5lTeSM,https://open.spotify.com/track/7A3dLop9L0X8K6Ds5lTeSM
Sing Me to Sleep,Sing Me to Sleep,Alan Walker,6UcTHiP25meOD9ox8Rspgx,https://open.spotify.com/track/6UcTHiP25meOD9ox8Rspgx
Sing Me to Sleep - Instrumental,Sing Me to Sleep,Alan Walker,4ij2VHXclWcJ0J69Kh7ajm,https://open.spotify.com/track/4ij2VHXclWcJ0J69Kh7ajm
Millionaire - Alan Walker Remix,Millionaire (Alan Walker Remix),"Digital Farm Animals, Cash Cash, Nelly, Alan Walker",5HzbxweVAtisCrpoOF11qt,https://open.spotify.com/track/5HzbxweVAtisCrpoOF11qt
Move Your Body - Alan Walker Remix,This Is Acting (Deluxe Version),"Sia, Alan Walker",6LUOMjoORvAkdhBYvESO46,https://open.spotify.com/track/6LUOMjoORvAkdhBYvESO46
Alone,Alone,Alan Walker,3ujORpm8Hf7QWEtfqSAZL8,https://open.spotify.com/track/3ujORpm8Hf7QWEtfqSAZL8
Routine,Routine,"Alan Walker, David Whistle",1U8tZHMk7gow5IdKkuabMv,https://open.spotify.com/track/1U8tZHMk7gow5IdKkuabMv
After the Afterparty (feat. Lil Yachty) - Alan Walker Remix,After the Afterparty (feat. Lil Yachty) [Alan Walker Remix],"Charli XCX, Lil Yachty, Alan Walker",3TeBDiwz0qrBJAFATBcmTx,https://open.spotify.com/track/3TeBDiwz0qrBJAFATBcmTx
Back to Beautiful,Back to Beautiful,"Sofia Carson, Alan Walker",2sNIzKpt0QLQuxyUUCapWs,https://open.spotify.com/track/2sNIzKpt0QLQuxyUUCapWs
Alone - Instrumental Remix,Alone,Alan Walker,3QVsdPyhmv68EeBzgBtXCX,https://open.spotify.com/track/3QVsdPyhmv68EeBzgBtXCX
Alone - Restrung,Alone,Alan Walker,19gwkBbuoGxt5M49Ufpciv,https://open.spotify.com/track/19gwkBbuoGxt5M49Ufpciv
Alone - Alex Arcoleo Remix,Alone (Remixes),"Alan Walker, Alex Arcoleo",0EP2GBgzae1XcAdAa7hbvj,https://open.spotify.com/track/0EP2GBgzae1XcAdAa7hbvj
Alone - Blazars Remix,Alone (Remixes),"Alan Walker, Blazars",5eAGda6EwIwCJp2i2S3UeS,https://open.spotify.com/track/5eAGda6EwIwCJp2i2S3UeS
Alone - George Kwali Remix,Alone (Remixes),"Alan Walker, George Kwali",0YVd0IVr5xs6PaHe1MkD2N,https://open.spotify.com/track/0YVd0IVr5xs6PaHe1MkD2N
Alone - Jack Wins Remix,Alone (Remixes),"Alan Walker, Jack Wins",3ec7zG60wAwKPtVvTmJbnF,https://open.spotify.com/track/3ec7zG60wAwKPtVvTmJbnF
Alone - Lost Frequencies Remix,Alone (Remixes),"Alan Walker, Lost Frequencies",11GRXDuBuUM6kEZ3RpFewA,https://open.spotify.com/track/11GRXDuBuUM6kEZ3RpFewA
Alone - Parx Remix,Alone (Remixes),"Alan Walker, Parx",6VjvkPRtVsd1nYwevZoW4g,https://open.spotify.com/track/6VjvkPRtVsd1nYwevZoW4g
Issues - Alan Walker Remix,Issues (Alan Walker Remix),"Julia Michaels, Alan Walker",6nlXWOyoCPLXXWaklOyQcb,https://open.spotify.com/track/6nlXWOyoCPLXXWaklOyQcb
Tired,Tired,"Alan Walker, Gavin James",3b5Li4QKDVBx1x7fQuu54a,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a
That's What I Like - Alan Walker Remix,That's What I Like (Alan Walker Remix),"Bruno Mars, Alan Walker",1KtU0WCq472KzqCXgMOxkS,https://open.spotify.com/track/1KtU0WCq472KzqCXgMOxkS
Tired - Kygo Remix,Tired (Kygo Remix),"Alan Walker, Gavin James, Kygo",3t0J8vI9StQD8KIBkT2Cp5,https://open.spotify.com/track/3t0J8vI9StQD8KIBkT2Cp5
Tired - Alan Walker Remix,Tired (Remixes),"Alan Walker, Gavin James",4r4KRCEIIsygtzDEQoc6NQ,https://open.spotify.com/track/4r4KRCEIIsygtzDEQoc6NQ
Tired - Lemarroy Remix,Tired (Remixes),"Alan Walker, Gavin James, Lemarroy",58zDfxzVKr5K5LWD9TKkNG,https://open.spotify.com/track/58zDfxzVKr5K5LWD9TKkNG
Sky,Insomniac Records Presents: EDC Las Vegas 2017,"Alan Walker, Alex Skrindo",5GDpODnukzZZIXXjPWOrDQ,https://open.spotify.com/track/5GDpODnukzZZIXXjPWOrDQ
Malibu - Alan Walker Remix,Malibu (Alan Walker Remix),"Miley Cyrus, Alan Walker",2OJ4ICFObsG4qQ1yICrCUZ,https://open.spotify.com/track/2OJ4ICFObsG4qQ1yICrCUZ
The Spectre,The Spectre,Alan Walker,2DGa7iaidT5s0qnINlwMjJ,https://open.spotify.com/track/2DGa7iaidT5s0qnINlwMjJ
All Falls Down,All Falls Down,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",5yFSF6qQA1rcLsQRnBsZgb,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
Legends Never Die (Alan Walker Remix),Legends Never Die (Alan Walker Remix),"League of Legends, Alan Walker, Against The Current, Mako",0kiYDq0MKIhDXLWPgUvrUr,https://open.spotify.com/track/0kiYDq0MKIhDXLWPgUvrUr
All Falls Down - Steve Aoki Remix,All Falls Down (Remixes),"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander, Steve Aoki",61veBHF4sj0pKNpXeHF1ah,https://open.spotify.com/track/61veBHF4sj0pKNpXeHF1ah
All Falls Down - Todd Edwards Remix,All Falls Down (Remixes),"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander, Todd Edwards",5pMs1O32Bm12fGcpIcJh50,https://open.spotify.com/track/5pMs1O32Bm12fGcpIcJh50
All Falls Down - Mio Remix,All Falls Down (Remixes),"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander, Mio",1MxT9oJtIQgDeBFrsKee4w,https://open.spotify.com/track/1MxT9oJtIQgDeBFrsKee4w
