title,album,artist,id,url
A Viper in a Sacred Place,FOXWEDDING LOST WORKS 2016 - 2020,foxwedding,6GY7o6eYBSpT2s3VJbOqmF,https://open.spotify.com/track/6GY7o6eYBSpT2s3VJbOqmF
Ark,Ark,Bastian Benjamin,25YGk04mE0QyKs46svac1V,https://open.spotify.com/track/25YGk04mE0QyKs46svac1V
Atrea - Former Hero Remix,Atrea (Former Hero Remix),"Heimanu, Former Hero",10QuPuZDyUM1URMEXVUG2n,https://open.spotify.com/track/10QuPuZDyUM1URMEXVUG2n
Confrontation,Two Truths,Bastian Benjamin,2GAqrljzErzk82as2HRyOe,https://open.spotify.com/track/2GAqrljzErzk82as2HRyOe
DBT,ΞRΛ,ΔXIUS LIИK,1q4zs3SN7PXaDkZRTBSJOR,https://open.spotify.com/track/1q4zs3SN7PXaDkZRTBSJOR
Heaven,Heaven,Sensi Affect,4qUzPZlZhjxWmXDHgP3zAv,https://open.spotify.com/track/4qUzPZlZhjxWmXDHgP3zAv
Life Cycle,Life Cycle E.P.,Yedgar,4xyidZEkDQ5iuY4vU1KtX4,https://open.spotify.com/track/4xyidZEkDQ5iuY4vU1KtX4
Nuova,Nuova,KTrek,4MJImXaC86R6RlLrVkr5fy,https://open.spotify.com/track/4MJImXaC86R6RlLrVkr5fy
Obsession,Obsession,Pauline Herr,5g1WgQiZSetIq1mztFOAGH,https://open.spotify.com/track/5g1WgQiZSetIq1mztFOAGH
Overcast,Overcast,Elestu,5nhKTXNuUK9gYaHIfGRSdC,https://open.spotify.com/track/5nhKTXNuUK9gYaHIfGRSdC
Singularity - Altare Remix,Singularity (Altare Remix),"REMNANT.exe, Altare",2ivYs7xslUZimYTOtAlC5C,https://open.spotify.com/track/2ivYs7xslUZimYTOtAlC5C
Soft Vision,Soft Vision,"Just Connor, Five Suns",1SQaNHk3ZSUNH6W2MTIF1z,https://open.spotify.com/track/1SQaNHk3ZSUNH6W2MTIF1z
Vesta,Vesta,"Gemi, Kori",2o4n8j8Bj0LB33Hgc71LIg,https://open.spotify.com/track/2o4n8j8Bj0LB33Hgc71LIg
losing my mind,Alter/Ego Volume I,"Alter/Ego, Enjoii, luna.moon",186KhmEGeSSl92n5nqTYSN,https://open.spotify.com/track/186KhmEGeSSl92n5nqTYSN
sink,frames,"vowl., Brothel",1quoL4JbrCYhQwftKRwOfd,https://open.spotify.com/track/1quoL4JbrCYhQwftKRwOfd
