title,album,artist,id,url
"75, Brazil Street (Radio Mix) - Nicola Fasano Vs Pat-Rich","75, Brazil Street (Nicola Fasano Vs Pat-Rich)","Nicola Fasano, Pat-Rich",2RSxUNaF8EZI3B7guqXAPk,https://open.spotify.com/track/2RSxUNaF8EZI3B7guqXAPk
9Pm (Till I Come),Movin' Melodies,ATB,1CgbwsrNDlFrRuk2ebQ7zr,https://open.spotify.com/track/1CgbwsrNDlFrRuk2ebQ7zr
Adagio For Strings,Just Be,Tiësto,3Q2M6sNKDwoqZGBvwdFqZr,https://open.spotify.com/track/3Q2M6sNKDwoqZGBvwdFqZr
Addiction - Radio Edit,Addiction (Radio Edit),Medina,6bUSZYa1aaVXSk7HFzizTm,https://open.spotify.com/track/6bUSZYa1aaVXSk7HFzizTm
Another Place,Worldwide Dance Hits,"Mischa Daniels, Crown",6FrchQ8NDHUI8ucAvz5zha,https://open.spotify.com/track/6FrchQ8NDHUI8ucAvz5zha
Army Of Two - Radio Version,Army Of Two,"UMEK, Beltek",4HolTVfZ37wQTg0eO29J3k,https://open.spotify.com/track/4HolTVfZ37wQTg0eO29J3k
Around the World,Homework,Daft Punk,1pKYYY0dkg23sQQXi0Q5zN,https://open.spotify.com/track/1pKYYY0dkg23sQQXi0Q5zN
Awaken - Ron Reeser & Dan Saenz Radio Edit,Awaken (Part 2),"JES, Ron Reeser, Dan Saenz",6XWIwu69Yu7BwQJzDajYRY,https://open.spotify.com/track/6XWIwu69Yu7BwQJzDajYRY
Baba O'Riley (Radio Edit),Nervous Rewind 2008,The Cube Guys,31gTL5XTmcI4JCSglW5Sda,https://open.spotify.com/track/31gTL5XTmcI4JCSglW5Sda
Baby When the Light (feat. Cozi),Pop Life,"David Guetta, Steve Angello, Cozi",5bJ3imTI0ErWNsFWEgi5F8,https://open.spotify.com/track/5bJ3imTI0ErWNsFWEgi5F8
Beautiful,L.E.F.,Ferry Corsten,3BBioBvGxikn3mVT2hhrEm,https://open.spotify.com/track/3BBioBvGxikn3mVT2hhrEm
Beautiful Things,"Mixed For Feet, Vol. 1",Andain,3SbCWIF7UaSewGfGHkFEI2,https://open.spotify.com/track/3SbCWIF7UaSewGfGHkFEI2
Behind - Callea Radio Mix,Behind,"Flanders, Callea",58ma0p0GQqxfbe5vNFraUs,https://open.spotify.com/track/58ma0p0GQqxfbe5vNFraUs
Believer (feat. Wynter Gordon) - Radio Edit,Believer (feat. Wynter Gordon) [Club Mixes],"Freemasons, Wynter Gordon",56kdmEz12GpKkEzxhtHdl7,https://open.spotify.com/track/56kdmEz12GpKkEzxhtHdl7
Better Off Alone,Who Needs Guitars Anyway?,Alice Deejay,5XVjNRubJUW0iPhhSWpLCj,https://open.spotify.com/track/5XVjNRubJUW0iPhhSWpLCj
Blue (Da Ba Dee) - Gabry Ponte Video Edit,Blue (Da Ba Dee),"Eiffel 65, Gabry Ponte",7lMIJ4EFWRVoAIPDpeGyM3,https://open.spotify.com/track/7lMIJ4EFWRVoAIPDpeGyM3
Body Language - Original Mix,Body Language,"M.A.N.D.Y., Booka Shade",52wJfSCcUt8qFkU0KYvQ4S,https://open.spotify.com/track/52wJfSCcUt8qFkU0KYvQ4S
Cafe Del Mar - Radio Edit,25 Years Of Perfecto Records (Mixed by Paul Oakenfold),Paul Oakenfold,4LIbYKwuUBMKmqyZZC7XVg,https://open.spotify.com/track/4LIbYKwuUBMKmqyZZC7XVg
Call on Me - Radio Mix,Call on Me (Radio Mix),Eric Prydz,1xNcBAoUw8Hz6LqK2jt4Ff,https://open.spotify.com/track/1xNcBAoUw8Hz6LqK2jt4Ff
Carry Me Away (feat. Emma Hewitt) - Radio Edit,"Carry Me Away , Pt. 1","Chris Lake, Emma Hewitt",3vVdNuzFHL0hmT8Xq4vbhY,https://open.spotify.com/track/3vVdNuzFHL0hmT8Xq4vbhY
Castles In The Sky - Peter Luts Radio Edit,Castles In The Sky,"Ian van Dahl, Marsha",2EhlTKxStybQpKktuuanws,https://open.spotify.com/track/2EhlTKxStybQpKktuuanws
Changed the Way You Kiss Me - Radio Edit,Playing In The Shadows,Example,1PAYgOjp1c9rrZ2kVQg2vN,https://open.spotify.com/track/1PAYgOjp1c9rrZ2kVQg2vN
Chemistry - Radio Edit,Chemistry,Velvet,6mMeuIonqBIcuzCGY5Soqe,https://open.spotify.com/track/6mMeuIonqBIcuzCGY5Soqe
Children,Children (Dance Vault Mixes),Robert Miles,4wtR6HB3XekEengMX17cpc,https://open.spotify.com/track/4wtR6HB3XekEengMX17cpc
Crush (Radio Edit),Crush,M'Black,7mafch6fDbXB2on5mxijln,https://open.spotify.com/track/7mafch6fDbXB2on5mxijln
Cry For You,Cry For You,September,4s3CHmungRHAI5ho2edqXb,https://open.spotify.com/track/4s3CHmungRHAI5ho2edqXb
Day 'N' Nite - Crookers Remix,Day 'N' Nite (Crookers Remix),"Kid Cudi, Crookers",6ouTGbETM7ZdID1eMXZJde,https://open.spotify.com/track/6ouTGbETM7ZdID1eMXZJde
Deep At Night (Adam K & Soha Radio Mix),Nervous Rewind 2008,"Ercola, Heikki L",4ggVmEvo9FzExPonRRqqIS,https://open.spotify.com/track/4ggVmEvo9FzExPonRRqqIS
Deep Inside,Strictly Hardrive,Hardrive,1EYYoG6P9cQdYXG6Nv5mXu,https://open.spotify.com/track/1EYYoG6P9cQdYXG6Nv5mXu
Destination Calabria - UK Radio Edit,Destination Calabria,"Alex Gaudino, Crystal Waters",7pGboneNRAZ5zwT7M3WayC,https://open.spotify.com/track/7pGboneNRAZ5zwT7M3WayC
Disconnected (Radio Edit Dub Mix),51 Big Room Fist Pumpers (feat. Mque),Mischa Daniels Project,7sOtNnr0Qv0WN0oWMj64yF,https://open.spotify.com/track/7sOtNnr0Qv0WN0oWMj64yF
Don't Call Me Baby,Don't Call Me Baby,Madison Avenue,4fazGt0v2v2zkzddQOcDZD,https://open.spotify.com/track/4fazGt0v2v2zkzddQOcDZD
Don't Stop,Movin' Melodies,ATB,0ygoI3HcoGScxt879A23Uk,https://open.spotify.com/track/0ygoI3HcoGScxt879A23Uk
Empty Streets - Haji & Emanuel Remix,Empty Streets (Remixes),"Late Night Alumni, Haji & Emanuel",12lTG2CsivVTCJH21qgkVz,https://open.spotify.com/track/12lTG2CsivVTCJH21qgkVz
Every Word (feat. Daniella) - Wendel Kos Radio Edit,Every Word,"Ercola, Daniella",0X7ELV6fLyjynJ3MexWh4X,https://open.spotify.com/track/0X7ELV6fLyjynJ3MexWh4X
Everything,Moby,Moby,4x5Y9ORUjOQs5JZk2uJ9bN,https://open.spotify.com/track/4x5Y9ORUjOQs5JZk2uJ9bN
Everything - Radio Edit,Everything,"Ron Reeser, Dan Saenz, Myah",42bWEclg5KT9KUbJYblSR5,https://open.spotify.com/track/42bWEclg5KT9KUbJYblSR5
Exploration of Space,Exploration of Space,Cosmic Gate,0P2sfcfRD0lWw4b8eXegmR,https://open.spotify.com/track/0P2sfcfRD0lWw4b8eXegmR
Faded,Perfect Day,Cascada,6vVBwOqsm2qOhL8ewESBBu,https://open.spotify.com/track/6vVBwOqsm2qOhL8ewESBBu
Feel Your Love - Radio Edit with Intro,Feel Your Love,Kim Sozzi,3gB5UMJqzC8Mt6ZBvGH8sP,https://open.spotify.com/track/3gB5UMJqzC8Mt6ZBvGH8sP
Fight For You - Sultan & Ned Shephard Remix Radio Edit,Fight For You,Morgan Page,2YdJ7ZnaXUMZcGe46eCiER,https://open.spotify.com/track/2YdJ7ZnaXUMZcGe46eCiER
Find Yourself,Vocal Trance Hits - The Anthems,"John O'Callaghan, Sarah Howells",3pVwawYlhHg9cLKWpeaN3l,https://open.spotify.com/track/3pVwawYlhHg9cLKWpeaN3l
Fire,L.E.F.,"Ferry Corsten, Simon Lebon",1lJUIg0FtOqApq4XPQqjrk,https://open.spotify.com/track/1lJUIg0FtOqApq4XPQqjrk
Flashback,Ready For The Weekend,Calvin Harris,6A8llSO9QFF4djCCmuCrNu,https://open.spotify.com/track/6A8llSO9QFF4djCCmuCrNu
For An Angel - Radio Mix 09,For An Angel,Paul van Dyk,3Gm5H7qzEctu0lDt2a4Kdt,https://open.spotify.com/track/3Gm5H7qzEctu0lDt2a4Kdt
Freed From Desire,Come Into My Life (The Album),Gala,3u5N55tHf7hXATSQrjBh2q,https://open.spotify.com/track/3u5N55tHf7hXATSQrjBh2q
Gettin' Over You (feat. Fergie & LMFAO),One Love (Deluxe),"David Guetta, Chris Willis, Fergie, LMFAO",6FbGlkHKGkYqpSCuBgurn3,https://open.spotify.com/track/6FbGlkHKGkYqpSCuBgurn3
Girlfriend - 2008 Remix,Girlfriend 2008,"Robbie Rivera, Keylime",71kHGcF4NcAqKUopKqdtm7,https://open.spotify.com/track/71kHGcF4NcAqKUopKqdtm7
Go,Moby,Moby,0e8C9dPERvvARURkNOFrrC,https://open.spotify.com/track/0e8C9dPERvvARURkNOFrrC
Gone,Smile,Lasgo,1QfJwbwcWUHheqVo3yRfpd,https://open.spotify.com/track/1QfJwbwcWUHheqVo3yRfpd
Halcyon and On and On,Orbital 2,Orbital,5xcunlfaZvD9BDQsLONI7A,https://open.spotify.com/track/5xcunlfaZvD9BDQsLONI7A
"Harder, Better, Faster, Stronger",Discovery,Daft Punk,5W3cjX2J3tjhG8zb6u0qHn,https://open.spotify.com/track/5W3cjX2J3tjhG8zb6u0qHn
Heads Will Roll - A-Trak Remix Radio Edit,Heads Will Roll,"Yeah Yeah Yeahs, A-Trak",0vBpyfpW2lARGh3AZFtWRi,https://open.spotify.com/track/0vBpyfpW2lARGh3AZFtWRi
Heartbreak - Radio Edit,Heartbreak,M'Black,2D7KdXI212C2evy5hh1tI5,https://open.spotify.com/track/2D7KdXI212C2evy5hh1tI5
Heaven,Heaven,"DJ Sammy, Do",72SpPFrMYCXLB3Fbw9tEgf,https://open.spotify.com/track/72SpPFrMYCXLB3Fbw9tEgf
