title,album,artist,id,url
Ache,Ache,"ROSE N DAGGER, WEISS, Hermitude",3IOHLs2wGidZJbwmC2SVRh,https://open.spotify.com/track/3IOHLs2wGidZJbwmC2SVRh
BING BONG!,BING BONG!,"SAYMYNITTI, SAYMYNAME, NITTI",1fSGHtUEMcG0Ia2BQ8IFQY,https://open.spotify.com/track/1fSGHtUEMcG0Ia2BQ8IFQY
Beans,Ebb & Flow,"Perkulat0r, Dyzphoria",5aAT57V1NMGVDjD200VZqN,https://open.spotify.com/track/5aAT57V1NMGVDjD200VZqN
Bring That Back,Bring That Back,GHOUL,565tVXXyMnSbgkslJMA4SN,https://open.spotify.com/track/565tVXXyMnSbgkslJMA4SN
Crash Into Me (feat. Tyler Graves),Crash Into Me (feat. Tyler Graves),"Gem & Tauri, Tyler Graves",3jp7X6k5lIOtFsMvFQeHMr,https://open.spotify.com/track/3jp7X6k5lIOtFsMvFQeHMr
Dark Liquor,Dark Liquor,"Bebi, Mxrcury",2wr33PpGqqna7XJ4Agle3j,https://open.spotify.com/track/2wr33PpGqqna7XJ4Agle3j
Destined (Wardub S3),Destined (Wardub S3),Gladkill,19VNvE0vekIfMrhMRATSUj,https://open.spotify.com/track/19VNvE0vekIfMrhMRATSUj
Elevated - Mollie Collins Remix,Elevated (Mollie Collins Remix),"Camden Cox, Mollie Collins",7GNMBjG4kaBncmaOAX1umv,https://open.spotify.com/track/7GNMBjG4kaBncmaOAX1umv
For You,For You,SADRN,09OF8QAxNkk2lOGXzKiR4R,https://open.spotify.com/track/09OF8QAxNkk2lOGXzKiR4R
Helpless,Helpless,"Art1fact, REEBZ",6aMHKXnYwUK6f7nVvKoLw9,https://open.spotify.com/track/6aMHKXnYwUK6f7nVvKoLw9
I Would Never,Initium,Pushing Daizies,326nNqs0vqJ96Tr4FZBSt1,https://open.spotify.com/track/326nNqs0vqJ96Tr4FZBSt1
Inertia,Inertia,Ravenscoon,1UKf649QC9K9NQVPwDe0eB,https://open.spotify.com/track/1UKf649QC9K9NQVPwDe0eB
Just Another Late Night on the Moon - Dante Rose Remix,Just Another Late Night on the Moon (Dante Rose Remix),"Whoisrune, Dante Rose",3YjwQVrC2sqKIzSaW1wwd1,https://open.spotify.com/track/3YjwQVrC2sqKIzSaW1wwd1
Just a Riff,Just a Riff,"Dirty South, EDDIE",4AmZxUOOKfmnhmmnzXiJHS,https://open.spotify.com/track/4AmZxUOOKfmnhmmnzXiJHS
Labyrinth,Labyrinth / Synthetic Sky,Pavel Khvaleev,5jf1DWtNBC63dkalEIfv9c,https://open.spotify.com/track/5jf1DWtNBC63dkalEIfv9c
Lights Out,Lights Out,"Taska Black, Alioth",6rwhrp7xkm8xTSZOBwIyyv,https://open.spotify.com/track/6rwhrp7xkm8xTSZOBwIyyv
Love Hate,Love & Hate EP,Skylark,20jB2giMB58iXQHm0hxsyb,https://open.spotify.com/track/20jB2giMB58iXQHm0hxsyb
Love and Regret,Love and Regret,"Decadon, MashBit, Hunter Avant",1tGCvs30qEgDKl95RPscWj,https://open.spotify.com/track/1tGCvs30qEgDKl95RPscWj
Made For This,Made For This / Back With The MF,"Subshock & Evangelos, Adeline Um",20c8x2SmcgeBk4E7N94UaP,https://open.spotify.com/track/20c8x2SmcgeBk4E7N94UaP
Mine,Mine,Chemikkal,61eoiefPh0b2v82qkIjp6M,https://open.spotify.com/track/61eoiefPh0b2v82qkIjp6M
Mystery Of Pain,Mystery Of Pain,"Win32, v a s s h",6kkWJG8sFeB0NZ63Nr8XSH,https://open.spotify.com/track/6kkWJG8sFeB0NZ63Nr8XSH
Nightmares,Nightmares,sumthin sumthin,6q9NOT3nkvXG5946RxwQp1,https://open.spotify.com/track/6q9NOT3nkvXG5946RxwQp1
Prisoner,Prisoner,Drezo,2UqgXOkQwRlogHsUXSRUux,https://open.spotify.com/track/2UqgXOkQwRlogHsUXSRUux
Reverie,Reverie,"Seeking Polaris, WANDARRIN",1gnSnmoMMKAZc3uUsKIK2D,https://open.spotify.com/track/1gnSnmoMMKAZc3uUsKIK2D
Shadows in the Dark,Shadows in the Dark,"HNTR, Elliot Moss",0g4A9LoGKShZIE3y0OGbF4,https://open.spotify.com/track/0g4A9LoGKShZIE3y0OGbF4
Stomper,Stomper,DNMO,7FtuHuzWlRxLBIzy0K1xTz,https://open.spotify.com/track/7FtuHuzWlRxLBIzy0K1xTz
TEKKEN,GEN ONE,MAGNAVOLT,2jouSv0qnNnUBKXSlfwfZH,https://open.spotify.com/track/2jouSv0qnNnUBKXSlfwfZH
Tied to You,Tied to You,"Lipless, LöKii, Project 46",3ztXhsmAArhAJAf6eGnu0v,https://open.spotify.com/track/3ztXhsmAArhAJAf6eGnu0v
You’re Not Alone,You’re Not Alone,George Acosta,0UTY9I2DWm1GN0G4lIjsDW,https://open.spotify.com/track/0UTY9I2DWm1GN0G4lIjsDW
port,port,bandoum,4yUctxds5gxdbKWHm3TMIc,https://open.spotify.com/track/4yUctxds5gxdbKWHm3TMIc
