# DnB, By dunce, https://open.spotify.com/playlist/7HGbePhICxJNrzdtGqbxo6
title,album,artist,id,url
Take You Higher,Lazers Not Included,Wilkinson,2rnDPE04mBt78lfmp9JNDP,https://open.spotify.com/track/2rnDPE04mBt78lfmp9JNDP
Solar System,Solar System / Siren,Sub Focus,5cRDn5aGMLvWsldoRmOOz0,https://open.spotify.com/track/5cRDn5aGMLvWsldoRmOOz0
Devotion (ft. Cameron Hayes),Devotion (ft. Cameron Hayes),"Dimension, Cameron Hayes",5TGdeBW6v7BuGYjtiFKwyC,https://open.spotify.com/track/5TGdeBW6v7BuGYjtiFKwyC
Junipero,Junipero,"Jack Mirror, Elle Exxe",6c1tspueGEvZkdsNrqTWdC,https://open.spotify.com/track/6c1tspueGEvZkdsNrqTWdC
Continua,Continua,"Lexurus, Dualistic",6CQPEzKVvfyZy0UX4yBNmg,https://open.spotify.com/track/6CQPEzKVvfyZy0UX4yBNmg
Frontline,Frontline,Wilkinson,4kklIhrMIXAKvgQrKPVWoN,https://open.spotify.com/track/4kklIhrMIXAKvgQrKPVWoN
Jungle Cats,Dim Sum EP,1991,4AFUUd24fdFduxBHCN6E3p,https://open.spotify.com/track/4AFUUd24fdFduxBHCN6E3p
Offender,Offender,Dimension,39dkTH7uL26INRkJYxmPmz,https://open.spotify.com/track/39dkTH7uL26INRkJYxmPmz
Acid Generation,Acid Generation,Grafix,1HhYD9KYfbNYp5d9HCJs8d,https://open.spotify.com/track/1HhYD9KYfbNYp5d9HCJs8d
If You Want To,If You Want To,Dimension,3ac536Eml3t9d7CUVzMAia,https://open.spotify.com/track/3ac536Eml3t9d7CUVzMAia
Neighbourhood,Sequence,Culture Shock,4cBuJYzw1YeRPSNOIRxJWo,https://open.spotify.com/track/4cBuJYzw1YeRPSNOIRxJWo
Mixed Emotions,Mixed Emotions,"Netsky, Montell2099",6bUlKNTAOA2EUg4CQ4PtJb,https://open.spotify.com/track/6bUlKNTAOA2EUg4CQ4PtJb
Renaissance (Edit),Sequence,Culture Shock,1g4C1BrGd4O1Dt5y0xue96,https://open.spotify.com/track/1g4C1BrGd4O1Dt5y0xue96
Remedy (feat. TS Graye),Remedy (feat. TS Graye),"Dimension, TS Graye",1Ojk0XlwKxvqByaHq6Uviz,https://open.spotify.com/track/1Ojk0XlwKxvqByaHq6Uviz
Step Away,Tribe,"Chase & Status, MC Singing Fats",7ChHlLwgo35iu7ISSg1BAQ,https://open.spotify.com/track/7ChHlLwgo35iu7ISSg1BAQ
Torus,Torus / Words to Say,Urbandawn,1Zjs4o2lhDaEXHGohlTZ7Z,https://open.spotify.com/track/1Zjs4o2lhDaEXHGohlTZ7Z
Out of Time,Out of Time,"Monrroe, Zara Kershaw",22r0D0nQXyP3Hkzb3qTnhl,https://open.spotify.com/track/22r0D0nQXyP3Hkzb3qTnhl
Easier (feat. LOWES) - Sub Focus Remix,Easier (feat. LOWES) [Sub Focus Remix],"CamelPhat, LOWES, Sub Focus",55d553uqFMy1882OvdPPvV,https://open.spotify.com/track/55d553uqFMy1882OvdPPvV
Saviour (feat. Sharlene Hector),Saviour (feat. Sharlene Hector),"Dimension, Sharlene Hector",1Kc8q53SKJxKlfhgpP8viw,https://open.spotify.com/track/1Kc8q53SKJxKlfhgpP8viw
Nobody Else - 1991 Remix,Nobody Else (1991 Remix),"Axwell, 1991",6ioaLgpCqjLFjix7QPW6rG,https://open.spotify.com/track/6ioaLgpCqjLFjix7QPW6rG
Balaclava In My System,Sick Music,Nu:Tone,6y24XZ3o44XhPETNs0Xfh9,https://open.spotify.com/track/6y24XZ3o44XhPETNs0Xfh9
Love To Give (with Culture Shock & Billy Lockett),Love To Give (with Culture Shock & Billy Lockett),"Dimension, Culture Shock, Billy Lockett",0Rww3ql3uRmzTvLOVBFlpn,https://open.spotify.com/track/0Rww3ql3uRmzTvLOVBFlpn
Alive (feat. Poppy Baskcomb),Alive (feat. Poppy Baskcomb),"Dimension, Poppy Baskcomb",37CytueQufCf2eqzuN8xQA,https://open.spotify.com/track/37CytueQufCf2eqzuN8xQA
Parallel,Parallel,"Metrik, Grafix",3ss7pNB2478DaTiaYxjAsY,https://open.spotify.com/track/3ss7pNB2478DaTiaYxjAsY
Shelter,Shelter,Flowidus,2pqFghgcLFEnrfkVoYqJBl,https://open.spotify.com/track/2pqFghgcLFEnrfkVoYqJBl
Dying Light,Ex Machina,"Metrik, ShockOne",5Lsr7AauyHMlMNjQzWb0uH,https://open.spotify.com/track/5Lsr7AauyHMlMNjQzWb0uH
Dragon,Dragon,Blaine Stranger,6qDgwLfGEfWm1tKOI2WOnj,https://open.spotify.com/track/6qDgwLfGEfWm1tKOI2WOnj
Air I Breathe - Sub Focus & Wilkinson,Air I Breathe (Sub Focus & Wilkinson),"Sub Focus, Wilkinson",5LhrHqhTqu8cc7cTfKt5gS,https://open.spotify.com/track/5LhrHqhTqu8cc7cTfKt5gS
Aurora,Zeitgeist,"Camo & Krooked, Metrik",6HlmMEBUSbHvjxYHu7JISh,https://open.spotify.com/track/6HlmMEBUSbHvjxYHu7JISh
Illuminate - Sub Focus & Wilkinson,Portals,"Sub Focus, Wilkinson",1vO6ncg0fPrxNwV9UEIip6,https://open.spotify.com/track/1vO6ncg0fPrxNwV9UEIip6
