title,album,artist,id,url
March on the Black Gate,Helios,"Paul Dinletir, Audiomachine",66eHnGKIddYpfTUMg9m2Hk,https://open.spotify.com/track/66eHnGKIddYpfTUMg9m2Hk
Veni Vidi Vici,Chronicles,"Danail Getz, Audiomachine",4Zhu4eiW9MB1pkjTzUUPle,https://open.spotify.com/track/4Zhu4eiW9MB1pkjTzUUPle
Guardians At the Gate,Chronicles,"Kevin Rix, Audiomachine",4MUN6PQPplQDajjx7NCcdr,https://open.spotify.com/track/4MUN6PQPplQDajjx7NCcdr
Crusader Of Glory,Best Of Epic Music,Erik Ekholm,4glJp1kgHP7wZFZ89qDhzb,https://open.spotify.com/track/4glJp1kgHP7wZFZ89qDhzb
Legions of Doom,Chronicles,"Kevin Rix, Audiomachine",7mO1TfpIGGBvw9IqN4YfR7,https://open.spotify.com/track/7mO1TfpIGGBvw9IqN4YfR7
For Glory,"The Yogscast - Shadow of Israphel, Volume 2",Daniel Yount,4a1a2OtwBEetjDMzFyZMin,https://open.spotify.com/track/4a1a2OtwBEetjDMzFyZMin
1000 Ships of the Underworld,Invincible,"Nick Phoenix, Two Steps from Hell",1fNH9MKSSG2csLddsc9ziQ,https://open.spotify.com/track/1fNH9MKSSG2csLddsc9ziQ
Destiny Of The Chosen,Trailerhead: Triumph,Immediate,3GVWz83cz1zSOyF6grhLNm,https://open.spotify.com/track/3GVWz83cz1zSOyF6grhLNm
Rise of Israphel,The Yogscast - Shadow of Israphel Soundtrack,Daniel Yount,2Ixfvav4WFeUGoTbLvbJT1,https://open.spotify.com/track/2Ixfvav4WFeUGoTbLvbJT1
Sirens of Hyperion,Helios,"Paul Dinletir, Audiomachine",3kLhlprKZnZGN7ovk9MgG2,https://open.spotify.com/track/3kLhlprKZnZGN7ovk9MgG2
All Is Hell That Ends Well,SkyWorld,"Thomas Bergersen, Two Steps from Hell",2IIaPvjYta7Y09wuFOD8pX,https://open.spotify.com/track/2IIaPvjYta7Y09wuFOD8pX
Novus Arcana,Trailerhead: Triumph,Immediate,3thg4KxrX7ZMKJLAIc1x4z,https://open.spotify.com/track/3thg4KxrX7ZMKJLAIc1x4z
Danuvius,Chronicles,"Paul Dinletir, Audiomachine",1C5qvCudVEAnnZzNtrkz1m,https://open.spotify.com/track/1C5qvCudVEAnnZzNtrkz1m
Battle of the Kings,Chronicles,"Paul Dinletir, Audiomachine",3C0O1uHAZrs6WjwrcscPZQ,https://open.spotify.com/track/3C0O1uHAZrs6WjwrcscPZQ
Akkadian Empire,Chronicles,"Paul Dinletir, Audiomachine",586eHbSgVkBHlWP6ORwx6E,https://open.spotify.com/track/586eHbSgVkBHlWP6ORwx6E
Lost Raiders,Chronicles,"Paul Dinletir, Audiomachine",4nHyPutl0mTYKAESThxnDQ,https://open.spotify.com/track/4nHyPutl0mTYKAESThxnDQ
Phoenix Rising,Helios,"Paul Dinletir, Audiomachine",0IKxR6BlXitLEKu0Izkg5v,https://open.spotify.com/track/0IKxR6BlXitLEKu0Izkg5v
Lachrimae,Chronicles,"Paul Dinletir, Audiomachine",2pvhR1vFgQVNNVKMMwtyx9,https://open.spotify.com/track/2pvhR1vFgQVNNVKMMwtyx9
Flames of War,Epica,"Paul Dinletir, Audiomachine",7cwCFd6e41jxU1HxjmSE9S,https://open.spotify.com/track/7cwCFd6e41jxU1HxjmSE9S
Deception,"The Yogscast - Shadow of Israphel, Volume 2",Daniel Yount,2WOGhTlvapAhuvHtqmbShk,https://open.spotify.com/track/2WOGhTlvapAhuvHtqmbShk
Land of Shadows,Helios,"Paul Dinletir, Audiomachine",6oij47Tq0c1vBhFPUexMTa,https://open.spotify.com/track/6oij47Tq0c1vBhFPUexMTa
Mage Battle 2,Dragon Age 2: Epic Time,Inon Zur,2xHHxvoR18GcnrbBnM6G45,https://open.spotify.com/track/2xHHxvoR18GcnrbBnM6G45
Dark Ages,SkyWorld,"Thomas Bergersen, Two Steps from Hell",5sTZulDKt7ZaIpyHaLmB4e,https://open.spotify.com/track/5sTZulDKt7ZaIpyHaLmB4e
The Land of Shadow,The Lord of the Rings - The Return of the King - The Complete Recordings (Limited Edition),Howard Shore,48ylCyEew76aaRcfSFyS9o,https://open.spotify.com/track/48ylCyEew76aaRcfSFyS9o
Destroyed In Seconds,Best Of Epic Music,Erik Ekholm,6eIohqRCsxWpIZcoRfxEqf,https://open.spotify.com/track/6eIohqRCsxWpIZcoRfxEqf
Lost Empire,Chronicles,"Kevin Rix, Audiomachine",24wVXFkXxpKgrzYdrcb1av,https://open.spotify.com/track/24wVXFkXxpKgrzYdrcb1av
Glory Seeker,Trailerhead: Saga,Immediate,2siUiieiA4ovNtrU166xQt,https://open.spotify.com/track/2siUiieiA4ovNtrU166xQt
Continued Existence,Position Music - Orchestral Series Vol. 2,James Dooley,4yR3f8G8TB2wqMZ1eETLiw,https://open.spotify.com/track/4yR3f8G8TB2wqMZ1eETLiw
Ultimate Contest,Position Music - Orchestral Series Vol. 2,James Dooley,3mb73hlboPWEae4onbxJi2,https://open.spotify.com/track/3mb73hlboPWEae4onbxJi2
Arising,Position Music - Orchestral Series Vol. 2,James Dooley,5TkkvZE65XdTIotJxugP8X,https://open.spotify.com/track/5TkkvZE65XdTIotJxugP8X
Final Flight,Position Music - Orchestral Series Vol. 1,Tom Salta,5AKWAgTo69xyqyvq2AAVQM,https://open.spotify.com/track/5AKWAgTo69xyqyvq2AAVQM
The Takeover,Wonderstruck - Position Music Orchestral Series Vol. 7,James Dooley,4GMwELnaMznUe2DGZXtuUO,https://open.spotify.com/track/4GMwELnaMznUe2DGZXtuUO
Vendetta,Vendetta - Position Music Orchestral Series Vol. 6,Jo Blankenburg,46tYPlPCL3GEYyVHokDWzw,https://open.spotify.com/track/46tYPlPCL3GEYyVHokDWzw
Battle with the Cyclops,Magical Trailers,Sound Adventures,0DzFxUs89I6KDDGbn4m2fR,https://open.spotify.com/track/0DzFxUs89I6KDDGbn4m2fR
Dark Energy,Best Of Epic Music,Erik Ekholm,3vgl52z0yStrbsFBx2zsVB,https://open.spotify.com/track/3vgl52z0yStrbsFBx2zsVB
