title,album,artist,id,url
Bullet Train (feat. Joni Fatora),Bullet Train (feat. Joni Fatora),Stephen Swartz,6lbhkPbkKj6jnPTt1FelVo,https://open.spotify.com/track/6lbhkPbkKj6jnPTt1FelVo
Stereo Love - Radio Edit,Stereo Love,Edward Maya & Vika Jigulina,2tr2WfkmOd2iv5fP5byRBT,https://open.spotify.com/track/2tr2WfkmOd2iv5fP5byRBT
3D Romeo,Mercury EP,"Gemini, Fabienne",6WW7ogdWWSpeHYY9Yt6NQ8,https://open.spotify.com/track/6WW7ogdWWSpeHYY9Yt6NQ8
Locked On The Low - Zero One Remix,Revolutions,"Lynx , Hellrazor, Naomi Pryor",6r0wElVszmS8NYyIGjqZES,https://open.spotify.com/track/6r0wElVszmS8NYyIGjqZES
Between Two Points (feat. Swan),Drink the Sea,The Glitch Mob,6Po0JDs8vPuZOCF7RLbtUE,https://open.spotify.com/track/6Po0JDs8vPuZOCF7RLbtUE
Universe,UKF Dubstep 2012,"Xilent, Shaz Sparks",4DqvFOvWWRCqCwyNqvHuAv,https://open.spotify.com/track/4DqvFOvWWRCqCwyNqvHuAv
Headrush (feat. Belle Humble),Headrush Ft Belle Humble / Falling Skies,"501, Belle Humble",6V9u7yF79hG4auQfKswOZf,https://open.spotify.com/track/6V9u7yF79hG4auQfKswOZf
Alive - Pegboard Nerds Remix,PLAY HARDER REMIX EP,"Krewella, Pegboard Nerds",7GL5G29n4eFF09RItmTW0C,https://open.spotify.com/track/7GL5G29n4eFF09RItmTW0C
Hush Now (501 Remix),Finally,"L.A.O.S, 501",0GZrf19S4472ysky5ODe2c,https://open.spotify.com/track/0GZrf19S4472ysky5ODe2c
Leave the Lights On - Culture Code Remix,Leave the Lights On (The Indaba Remixes),Meiko,0F8yv1d2wHWGvT9LN8lu5S,https://open.spotify.com/track/0F8yv1d2wHWGvT9LN8lu5S
Raise Your Weapon,Raise Your Weapon Remixes,deadmau5,4IBF3hPcSLggvQGaafJvg4,https://open.spotify.com/track/4IBF3hPcSLggvQGaafJvg4
Heartbreak - Bare Noize Remix,Heartbreak Remixes,M'Black,0vJMw25Y9dhq5aQtPOWDIR,https://open.spotify.com/track/0vJMw25Y9dhq5aQtPOWDIR
Crave You (Adventure Club Remix),Crave You,Flight Facilities,0ekII9O2RfHOivSRY9Bn1U,https://open.spotify.com/track/0ekII9O2RfHOivSRY9Bn1U
Raindrops - Radio Edit,Raindrops,"Fytch, Captain Crunch, Carmen Forbes",1jXrI2zbVV8IJEg21j7Xy8,https://open.spotify.com/track/1jXrI2zbVV8IJEg21j7Xy8
Eyes on Fire - Zeds Dead RMX,Eyes on Fire,Blue Foundation,4oZNnBytvWrddsoaFPO4RD,https://open.spotify.com/track/4oZNnBytvWrddsoaFPO4RD
Strange Behaviour - Original Mix,To The Stars,"Feed Me, Tasha Baxter",3WyXP15dqzhKtfcjqX1vsj,https://open.spotify.com/track/3WyXP15dqzhKtfcjqX1vsj
In For The Kill - Skrillex Remix,In For The Kill,"La Roux, Sonny Moore",1oS15s7e3o4fJxpg9UR9ns,https://open.spotify.com/track/1oS15s7e3o4fJxpg9UR9ns
Insane,Insane,Vaski,6T7zwPAJPdBSBcMMp0WnLu,https://open.spotify.com/track/6T7zwPAJPdBSBcMMp0WnLu
Time,No More Idols,"Chase & Status, Delilah",2HOMVMnOukowkziBJZyf7o,https://open.spotify.com/track/2HOMVMnOukowkziBJZyf7o
Said & Done (Radio Mix) [feat. Reija Lee],Said & Done,"Phetsta, Reija Lee",6O8RdnXx2iXE9YKDfFOlZ5,https://open.spotify.com/track/6O8RdnXx2iXE9YKDfFOlZ5
Bad Machine (feat. Insomnia) - Original Mix,The Other Side,"Aami, Nostalgia, Insomnia",2Aly0kBHnpKvRiKi0qSaNR,https://open.spotify.com/track/2Aly0kBHnpKvRiKi0qSaNR
