title,album,artist,id,url
Apollo 11,Apollo 11,"Matador, ARTBAT",2vl9yXYJmoKbv72pUIxoue,https://open.spotify.com/track/2vl9yXYJmoKbv72pUIxoue
Disturbia - Original Mix,Discovery Series 001,SevenJune,5uuz3p1ADuKECOvEJGld7o,https://open.spotify.com/track/5uuz3p1ADuKECOvEJGld7o
See Myself,Stylo / See Myself (Inc. Antony Toga Remix),Stylo,1rtYAmS9Z0md6zN4Dtel8d,https://open.spotify.com/track/1rtYAmS9Z0md6zN4Dtel8d
Anna,MenorAnna,Stylo,0Gq8dQmgEU1kdvEF7JCVmn,https://open.spotify.com/track/0Gq8dQmgEU1kdvEF7JCVmn
Depths Of Consciousness - Olivier Giacomotto Remix,Depths Of Consciousness,"Tvardovsky, Olivier Giacomotto",3y2tEirWBehazaPa7DTiBy,https://open.spotify.com/track/3y2tEirWBehazaPa7DTiBy
Esto Es Tulum,Esto Es Heaven,Space Motion,7atocHmWUfuZMw6h6D51HL,https://open.spotify.com/track/7atocHmWUfuZMw6h6D51HL
Runner - Original Mix,Runner,Darlyn Vlys,2suRUYEGTGbdqJR9bPgzzq,https://open.spotify.com/track/2suRUYEGTGbdqJR9bPgzzq
Shivaya,Shivaya,"Kintar, Stylo",4miOzWhoyFPCUGr72oIgET,https://open.spotify.com/track/4miOzWhoyFPCUGr72oIgET
The Android's Lament,Reinvention,Mayro,4VRDkmFVEuUA21IMQquY47,https://open.spotify.com/track/4VRDkmFVEuUA21IMQquY47
Aedes - Alex Vidal Remix,Aedes,"Lio Q, Alex Vidal",5j2KsYnEH8xxwYQvkN7fWt,https://open.spotify.com/track/5j2KsYnEH8xxwYQvkN7fWt
After Ten Years... - Lilly Palmer Remix,"After Ten Years... Album remixes, Vol. 3","Belocca, Lilly Palmer",3kMWLIcBf6ZTQzP3wYmgjF,https://open.spotify.com/track/3kMWLIcBf6ZTQzP3wYmgjF
Aground - Danito & Athina Remix,Aground,"ND Catani, Danito & Athina",5cMasqAyfQM5E1ObtR8Aqr,https://open.spotify.com/track/5cMasqAyfQM5E1ObtR8Aqr
Ahead (Master) - Original,Serenity,Jiggler,7a3OpJ6MKprG0SML9vThrl,https://open.spotify.com/track/7a3OpJ6MKprG0SML9vThrl
Amaru,Sustain,"Brigado Crew, Crisstiano",0ZoqeA4cLZI4ajWqcxQfM3,https://open.spotify.com/track/0ZoqeA4cLZI4ajWqcxQfM3
Amphibious,Amphibious,"Matan Caspi, R3cycle",7iUvh56Xjd6cr7LbljUXDY,https://open.spotify.com/track/7iUvh56Xjd6cr7LbljUXDY
Aquiver - Original Mix,Aquiver,Stereo Express,4MpYL0NBKcz41y2TW3UCW8,https://open.spotify.com/track/4MpYL0NBKcz41y2TW3UCW8
Argul,Argul,"Luke Garcia, Th3 Oth3r",5EXqAqPKp2udZiCCdCxpem,https://open.spotify.com/track/5EXqAqPKp2udZiCCdCxpem
Around It - Haze-M & Monastetiq Remix,Around It EP,"UNDERHER, Jessica Zese, Haze-M, Monastetiq",4wdZ276CamgobtpYamPJxl,https://open.spotify.com/track/4wdZ276CamgobtpYamPJxl
Arpi - Moonwalk Remix,Arpi Remixes,"Sharam, Moonwalk",1WpwGgx5pvGKGBzt4AtNDm,https://open.spotify.com/track/1WpwGgx5pvGKGBzt4AtNDm
Awareness,Assembly 07,Vanita,4rJdPnU8zWWc7yKgRPpGcW,https://open.spotify.com/track/4rJdPnU8zWWc7yKgRPpGcW
Azgard,Azgard,Juan Elvadin,53nSMeefkD7vFqGTmwKebn,https://open.spotify.com/track/53nSMeefkD7vFqGTmwKebn
Bamboo,Bamboo,Marcus Meinhardt,3M8ZO9p1Dcpi54gHlpMyaT,https://open.spotify.com/track/3M8ZO9p1Dcpi54gHlpMyaT
Bats & Snakes,Ade 2017 VA Compilation,Oscar L,4zFrMHzxtmE0xQR6pDvjHn,https://open.spotify.com/track/4zFrMHzxtmE0xQR6pDvjHn
Breaking Walls - Original Mix,Breaking Walls,Supacooks,1raazFpSoQPEmwLT4A19I7,https://open.spotify.com/track/1raazFpSoQPEmwLT4A19I7
Breath,Four Points III,Olivier Giacomotto,4x60midH0pj4lwi1IiD7MX,https://open.spotify.com/track/4x60midH0pj4lwi1IiD7MX
Broken Windows - Lunar Plane Remix,Broken Windows,"Mel7em, Lunar Plane",4dC1XdDJrZiXhOx7HeS5H8,https://open.spotify.com/track/4dC1XdDJrZiXhOx7HeS5H8
Budapest,Machines,Sebastian Busto,20PC2XwEYE1cz1JS0GaaiT,https://open.spotify.com/track/20PC2XwEYE1cz1JS0GaaiT
Budapest,Budapest / Buenos Aires,Alexander Alar,3AMWAtxCwSldlWUaaoy3Fp,https://open.spotify.com/track/3AMWAtxCwSldlWUaaoy3Fp
Butterfly,Butterfly EP,"Matan Caspi, Ziger",5O3OyQxHf4wdZLRHdh3Chb,https://open.spotify.com/track/5O3OyQxHf4wdZLRHdh3Chb
C'est la vie - P.a.c.o. Afterhour Remix,"Deep Vibes, Vol. 6 (A Fine Deep House Selection)","Nolan, Forrest",5TuVrOF4AMBxhEvPQYEm8I,https://open.spotify.com/track/5TuVrOF4AMBxhEvPQYEm8I
CURE - Tube & Berger's Dust Lines Rework,CURE,"Tube & Berger, Alegant",3oY1FIcK4rB2HVKaioqqGC,https://open.spotify.com/track/3oY1FIcK4rB2HVKaioqqGC
Calling - Madtales Remix,Calling,"Mark Synth, Madtales",7tQjgivSOK2v8JD0nkcvqO,https://open.spotify.com/track/7tQjgivSOK2v8JD0nkcvqO
Canta,Canta,"Dorian Craft, SEGG",0WzbDN0BDLUDgFzlQ8u6TJ,https://open.spotify.com/track/0WzbDN0BDLUDgFzlQ8u6TJ
Caravaan,Caravaan,Lunaar,25JmH5VZIeE0qXDAzmRGoa,https://open.spotify.com/track/25JmH5VZIeE0qXDAzmRGoa
Chasing the Sun,Rising,Jiggler,5BtchvU9fVhC9f8kOX4RvD,https://open.spotify.com/track/5BtchvU9fVhC9f8kOX4RvD
Clou,And When We Dance We'll Dance Forever,Solee,3PvAJTJtbx2p3HKGgJU75u,https://open.spotify.com/track/3PvAJTJtbx2p3HKGgJU75u
Comet,Schneeweiß 9: Presented by Oliver Koletzki,Danito & Athina,0wkwd3BYi2oPUGkl3DaZse,https://open.spotify.com/track/0wkwd3BYi2oPUGkl3DaZse
Crashed,Dear Deer: Best Of 2017,Denny Loco,5pYMQmgoGlyhLkGPD451RJ,https://open.spotify.com/track/5pYMQmgoGlyhLkGPD451RJ
Crossroads,Crossroads,Stan Kolev,7JqAHq1XXZ0xOftmyCLpGr,https://open.spotify.com/track/7JqAHq1XXZ0xOftmyCLpGr
Dahlass,Dahlass,Whitesquare,5UhnzNrGM7ZWTjQJr3gSfu,https://open.spotify.com/track/5UhnzNrGM7ZWTjQJr3gSfu
De Orde Van De Nacht - Extended Mix,De Orde Van De Nacht,Eelke Kleijn,5NStaQcRZH4vk1I88EAnXE,https://open.spotify.com/track/5NStaQcRZH4vk1I88EAnXE
Dushanbe,Dushanbe / Blindfold,AfterU,19MTDlbq5kgkwLeOYg9TbV,https://open.spotify.com/track/19MTDlbq5kgkwLeOYg9TbV
E Ke Keq Aty - Monastetiq Remix,E Ke Keq Aty (Remixes),"Motel Sazani, Monastetiq",6ekm0gjomdAeaZEv80NorC,https://open.spotify.com/track/6ekm0gjomdAeaZEv80NorC
Echospace,Aura Tears,Michael A,3uPg4dG2tVUKNcFYfHBH7l,https://open.spotify.com/track/3uPg4dG2tVUKNcFYfHBH7l
Eclipse,Eclipse,Angelo Fracalanza,4elQLL18kwI4AJ9Yx2oaEh,https://open.spotify.com/track/4elQLL18kwI4AJ9Yx2oaEh
Endless,Galactic,Moonwalk,2EoCi1YO1phOjD7crMrHZO,https://open.spotify.com/track/2EoCi1YO1phOjD7crMrHZO
Endor,Endor,Animal Trainer,5JsnxyfDZEBv3pul6woBfE,https://open.spotify.com/track/5JsnxyfDZEBv3pul6woBfE
Foenix - Township Rebellion Remix,Foenix,"Le Jeune Flück, Township Rebellion",2LnD6SpnwkNMgRXhKwWmWN,https://open.spotify.com/track/2LnD6SpnwkNMgRXhKwWmWN
Fractal,Vector,Digital Mess,5gpfI8hXOidrsddoh08TXz,https://open.spotify.com/track/5gpfI8hXOidrsddoh08TXz
Galactic,Galactic,Moonwalk,4q1e5Gh80PBbyNyh8axUDB,https://open.spotify.com/track/4q1e5Gh80PBbyNyh8axUDB
Ganesa - Original Mix,Ganesa,Tali Muss,5TYXHJOaO4vEkwIKB2FbJb,https://open.spotify.com/track/5TYXHJOaO4vEkwIKB2FbJb
Gone,Summer Particles 2018,"Trilucid, Phil Martyn",1oLtgnp8i1rdHMku9cF7cJ,https://open.spotify.com/track/1oLtgnp8i1rdHMku9cF7cJ
Gone - Demitros & Dante Pippi Remix,Gone,"Trilucid, Phil Martyn, Demitros, Dante Pippi",51AqTR6y4Li8UnV1PeXEI5,https://open.spotify.com/track/51AqTR6y4Li8UnV1PeXEI5
Halicon,Stylo / See Myself (Inc. Antony Toga Remix),"Stylo, Or Its",7e841Z3XW6XOGotGX4N44N,https://open.spotify.com/track/7e841Z3XW6XOGotGX4N44N
Harisma,Harisma,"Anturage, Alexey Union",6tnChrMnBBjM52mFFcg99a,https://open.spotify.com/track/6tnChrMnBBjM52mFFcg99a
Haryana - Mode Apart Remix,Haryana (Remixes),"Framewerk, Mode Apart",3xQbpmyu7rOU1DgtlUXMqL,https://open.spotify.com/track/3xQbpmyu7rOU1DgtlUXMqL
Hourglass - Khainz Remix,Hourglass,"Morttagua, Ghost Wars, Khainz",3KzITUOjXOy9LNHDQnPv0U,https://open.spotify.com/track/3KzITUOjXOy9LNHDQnPv0U
In Name Only - Moonwalk Remix,Selador 100,"Cristoph, Quivver, Moonwalk",4WTe6VQi3qweKr00ER0Aq1,https://open.spotify.com/track/4WTe6VQi3qweKr00ER0Aq1
Inscape,Inscape,Stan Kolev,3i4ujvRQ2abZC0ajaSRSdT,https://open.spotify.com/track/3i4ujvRQ2abZC0ajaSRSdT
Kigelia,Stil vor Talent Berlin: Tempelhofer Feld,Elfenberg,2PiccUnZ1nTaPI9O86Z76a,https://open.spotify.com/track/2PiccUnZ1nTaPI9O86Z76a
L'amour,L'amour,"Max Freegrant, Slow Fish",3veOhLI7IsJMtHZ2weYB3d,https://open.spotify.com/track/3veOhLI7IsJMtHZ2weYB3d
Leave - Cosmonaut Remix,Leave,"Underground Ticket, Cosmonaut",6r6MWGwaiUQ6ljRIVfBi8w,https://open.spotify.com/track/6r6MWGwaiUQ6ljRIVfBi8w
Let It Go - Original Mix,Let It Go,"Deniz Kabu, Wolfson",4E1YM4zMbkayYoyOWUS9n6,https://open.spotify.com/track/4E1YM4zMbkayYoyOWUS9n6
Levenloos,Levenloos EP,Melody Stranger,4tx5Qi0mh1hP1jDWJ59CmN,https://open.spotify.com/track/4tx5Qi0mh1hP1jDWJ59CmN
Lodi,50.000 Watts Of Funk / Lodi,Funkerman,6A16BDD9Ve3c5yqghmvV4B,https://open.spotify.com/track/6A16BDD9Ve3c5yqghmvV4B
Lost,Infinity / Lost,Ziger,7mx9WTRkRfqPTpSQ3CWZqP,https://open.spotify.com/track/7mx9WTRkRfqPTpSQ3CWZqP
Masakra,Mnong,Cherry,4sPZKDEmSz6JShO213m4OK,https://open.spotify.com/track/4sPZKDEmSz6JShO213m4OK
Masakra - Miss Monique Remix,Boomerang,"Cherry (UA), Miss Monique",5X8bn44YopVrsYpPPZGLLT,https://open.spotify.com/track/5X8bn44YopVrsYpPPZGLLT
Meraki - Original Mix,Meraki,Stan Kolev,7Be0ZZbeOUQfG2b6pLyQUV,https://open.spotify.com/track/7Be0ZZbeOUQfG2b6pLyQUV
