# Monstercat - New Releases, By Monstercat, https://open.spotify.com/playlist/4kw9kdjzx1UmyWvpysl0y2
title,album,artist,id,url
Riptide,Riptide,"Trivecta, Amidy, RØRY",5kvFBu6jDJMECOqmD7OwUx,https://open.spotify.com/track/5kvFBu6jDJMECOqmD7OwUx
Can We Be Free,Can We Be Free,KUURO,4JHfB0tPjE38N5KTSaX39I,https://open.spotify.com/track/4JHfB0tPjE38N5KTSaX39I
A Dark Machine,A Dark Machine,"ShockOne, Reija Lee",64Up18W3SPpThiKls1iEkf,https://open.spotify.com/track/64Up18W3SPpThiKls1iEkf
Awake (Intro),A Dark Machine,ShockOne,24cq8TyMjIJmPJQyJibUoz,https://open.spotify.com/track/24cq8TyMjIJmPJQyJibUoz
Bleed Black,A Dark Machine,"ShockOne, Cruz Patterson",56jiVRc0PFbezqcj1Bg63t,https://open.spotify.com/track/56jiVRc0PFbezqcj1Bg63t
Klaxon,A Dark Machine,"ShockOne, Ekko & Sidetrack",3ohyF81AJAaeHQZ5YwVXVK,https://open.spotify.com/track/3ohyF81AJAaeHQZ5YwVXVK
Lost It,A Dark Machine,ShockOne,3KX8EDznyPViduMzpHrKtp,https://open.spotify.com/track/3KX8EDznyPViduMzpHrKtp
Oberheim (Interlude),A Dark Machine,ShockOne,5iG4Jcvg6AuPv4X0YmjW9n,https://open.spotify.com/track/5iG4Jcvg6AuPv4X0YmjW9n
Pray For Me,A Dark Machine,ShockOne,5l4Zw9cyf5dyZGx4nhZNgP,https://open.spotify.com/track/5l4Zw9cyf5dyZGx4nhZNgP
Run,A Dark Machine,"ShockOne, The Bloody Beetroots",6DWm19yrizjxhLgK5t3J78,https://open.spotify.com/track/6DWm19yrizjxhLgK5t3J78
Silver & Gold,A Dark Machine,"ShockOne, Reija Lee",0OR0Lp0TWwFKJSgLz994cs,https://open.spotify.com/track/0OR0Lp0TWwFKJSgLz994cs
The Night's Always Waiting (Interlude),A Dark Machine,ShockOne,4arGK5T7sXlomruWLJT7zk,https://open.spotify.com/track/4arGK5T7sXlomruWLJT7zk
Til Dawn,A Dark Machine,ShockOne,4nMeGubW4CluJIDf8rTJzQ,https://open.spotify.com/track/4nMeGubW4CluJIDf8rTJzQ
Underloved,A Dark Machine,"ShockOne, Cecil",3kqxcrsjK9rHh8jO0fb8HA,https://open.spotify.com/track/3kqxcrsjK9rHh8jO0fb8HA
Willow's Theme,A Dark Machine,ShockOne,1H8mH1PLJYl0vBMG6Slphy,https://open.spotify.com/track/1H8mH1PLJYl0vBMG6Slphy
Don't Bring Me Down,Don't Bring Me Down,Justin OH,0fwfMoZWNZhKbFkUqE4Gkt,https://open.spotify.com/track/0fwfMoZWNZhKbFkUqE4Gkt
Played Out,Played Out,"Kill Paris, Dutch Robinson",3JUcffnkLGhFL8V4RoCac2,https://open.spotify.com/track/3JUcffnkLGhFL8V4RoCac2
Berserker,Berserker,"Mazare, Essenger",3kAvZ3KbdJTK8JqcoHBiRL,https://open.spotify.com/track/3kAvZ3KbdJTK8JqcoHBiRL
Color,Wishes,"Grant, Juneau",4mXnQZxQKaajYDtvsxqmBm,https://open.spotify.com/track/4mXnQZxQKaajYDtvsxqmBm
Contagious,Wishes,"Grant, RUNN",6Da6BPJ2L2bTJDgQ3oe8kH,https://open.spotify.com/track/6Da6BPJ2L2bTJDgQ3oe8kH
Where Will We Go,Wishes,Grant,2RyLgb5hpvheoOPTpJvTf3,https://open.spotify.com/track/2RyLgb5hpvheoOPTpJvTf3
Wishes,Wishes,"Grant, McCall",3b3dgzVvOR6GkMfHbRqxF5,https://open.spotify.com/track/3b3dgzVvOR6GkMfHbRqxF5
St Tropez,St Tropez,"Tony Romera, SQWAD",2SnWTmXbZmdHwcgfwwWb4c,https://open.spotify.com/track/2SnWTmXbZmdHwcgfwwWb4c
Solace - Acoustic,Solace (Acoustic),"Feint, Laura Brehm",6rMlvZi4MCUobPZAYkhI83,https://open.spotify.com/track/6rMlvZi4MCUobPZAYkhI83
Beat Down,Beat Down,Bossfight,6GaB23qYZMlEw3jyKcR232,https://open.spotify.com/track/6GaB23qYZMlEw3jyKcR232
This Is The End,This Is The End,"Gammer, David Spekter",4xSFbc4P9gsgbiuRTylMjq,https://open.spotify.com/track/4xSFbc4P9gsgbiuRTylMjq
Ran Out of Reasons,Ran Out of Reasons,"Vicetone, Jude, Night Panda",4wYLFoP7a4Ok9BTEs4gcWe,https://open.spotify.com/track/4wYLFoP7a4Ok9BTEs4gcWe
The One,The One,Habstrakt,6U6nzpSvKxju6WA0Kojcxn,https://open.spotify.com/track/6U6nzpSvKxju6WA0Kojcxn
The One - Unlovable Remix,The One,"Habstrakt, Unlovable",6g5mOmAf9UNmM0ejKoq6ZK,https://open.spotify.com/track/6g5mOmAf9UNmM0ejKoq6ZK
Thinking Bout You,Thinking Bout You,"Disero, Bertie Scott",1a8v8QKMFsdjUSCZzg2mDC,https://open.spotify.com/track/1a8v8QKMFsdjUSCZzg2mDC
Fabulous,Fabulous,"LVTHER, GOLDA",1n76yjwbtC0sDQCI6q7Ll2,https://open.spotify.com/track/1n76yjwbtC0sDQCI6q7Ll2
Heat Wave,Heat Wave,Tony Romera,47cKmxMxNIxXnsMPju6hdn,https://open.spotify.com/track/47cKmxMxNIxXnsMPju6hdn
Watch Yo Back,Watch Yo Back,Slushii,1Oq9ye9mra9Bvk3ZyXk7eO,https://open.spotify.com/track/1Oq9ye9mra9Bvk3ZyXk7eO
Cobra,Cobra,"Tails, Juelz",6z1LRCM39LEMh5UXvML0VM,https://open.spotify.com/track/6z1LRCM39LEMh5UXvML0VM
Burning,The Sound,"Aero Chord, Bianca",48PbzKIYWvutVC0PJdAWYf,https://open.spotify.com/track/48PbzKIYWvutVC0PJdAWYf
Take Me Home,The Sound,"Aero Chord, Nevve",08qy9uiZHzW8u08y6kWbgr,https://open.spotify.com/track/08qy9uiZHzW8u08y6kWbgr
The Sound,The Sound,Aero Chord,1qSy4Ofd4ar3rRfkKoByhg,https://open.spotify.com/track/1qSy4Ofd4ar3rRfkKoByhg
Tribe 303,The Sound,Aero Chord,034IKerEZU6V5gcmPcEZc7,https://open.spotify.com/track/034IKerEZU6V5gcmPcEZc7
What's Love,What's Love,Conro,21Z6lY56DuaKBZBkPKK4Nk,https://open.spotify.com/track/21Z6lY56DuaKBZBkPKK4Nk
Beyond The Stars,Flesh & Blood,Eptic,7r2iKPqJHM4hfKgHJzccQm,https://open.spotify.com/track/7r2iKPqJHM4hfKgHJzccQm
Let It Go,Flesh & Blood,"Eptic, Dillon Francis",6CrixR0MdABXTKA2mTYdCN,https://open.spotify.com/track/6CrixR0MdABXTKA2mTYdCN
Power,Flesh & Blood,Eptic,5zp192dke7d9Dbgr7ZLRtm,https://open.spotify.com/track/5zp192dke7d9Dbgr7ZLRtm
Undefeated,Flesh & Blood,Eptic,2gOiFualNcCa0SWoAVJpTl,https://open.spotify.com/track/2gOiFualNcCa0SWoAVJpTl
Violence,Flesh & Blood,Eptic,71KRJfQUDoV74q3gLJIKM9,https://open.spotify.com/track/71KRJfQUDoV74q3gLJIKM9
Blinded,Talk!,Duumu,6aTb3KzWpJLxRoGPBmJCei,https://open.spotify.com/track/6aTb3KzWpJLxRoGPBmJCei
Feather,Talk!,Duumu,3yFqPuFDZCV3CLOevL1h5D,https://open.spotify.com/track/3yFqPuFDZCV3CLOevL1h5D
Intentions,Talk!,"Duumu, GLNNA",4KpXk13YOML7ayS7qB1jAm,https://open.spotify.com/track/4KpXk13YOML7ayS7qB1jAm
Talk!,Talk!,"Duumu, ÊMIA",6FaMZg9su8POFJ9gTCQUvy,https://open.spotify.com/track/6FaMZg9su8POFJ9gTCQUvy
Tide (Interlude),Talk!,Duumu,1UHmK2kYWW7ydcX6V8s2Kf,https://open.spotify.com/track/1UHmK2kYWW7ydcX6V8s2Kf
Assemble,Assemble,"Justin OH, Xilent",1mdJklgo32GsyU3kVUQK1l,https://open.spotify.com/track/1mdJklgo32GsyU3kVUQK1l
Edge of the World,Edge of the World,DESERT STAR,4EA0L8j0GHlBj4FV1YIPf9,https://open.spotify.com/track/4EA0L8j0GHlBj4FV1YIPf9
Galactic Trumpet,Galactic Trumpet,Julian Calor,44GSBI9PMoXk4DrytaeOoa,https://open.spotify.com/track/44GSBI9PMoXk4DrytaeOoa
Anonymous,Anonymous,"CloudNone, Paul Aiden",6wBO7qD293bbCCOHzyjpJt,https://open.spotify.com/track/6wBO7qD293bbCCOHzyjpJt
Exterminate,Exterminate,Pegboard Nerds,0VqaYqxwDoT9jZYCb4tGcI,https://open.spotify.com/track/0VqaYqxwDoT9jZYCb4tGcI
Solo,Solo,"Pegboard Nerds, Maria Lynn",3kh0Yu6lnAxbPh2Xo5wCPY,https://open.spotify.com/track/3kh0Yu6lnAxbPh2Xo5wCPY
Computa Hakka,Computa Hakka,"Pegboard Nerds, Ragga Twins",24c9wllYBSaUqKswAwE9N5,https://open.spotify.com/track/24c9wllYBSaUqKswAwE9N5
Crying Shame,Crying Shame,"Pegboard Nerds, NERVO",56l61HlnJm3UDUh8XZNFLy,https://open.spotify.com/track/56l61HlnJm3UDUh8XZNFLy
Suspicious,Suspicious,"FWLR, BRDGS",1ny5YsFHhEA9UgP0HIAPMm,https://open.spotify.com/track/1ny5YsFHhEA9UgP0HIAPMm
LA2016,LA2016,"Direct, Mr FijiWiji",1wkbxc4gH04t3JNGxt9QTN,https://open.spotify.com/track/1wkbxc4gH04t3JNGxt9QTN
BLACKOUT,RAPTURE,REAPER,5bnICxZ3eArKNBNX6uOOsr,https://open.spotify.com/track/5bnICxZ3eArKNBNX6uOOsr
OBLIVION,RAPTURE,REAPER,4Do9AwwDlIN3Kprqa1LCwP,https://open.spotify.com/track/4Do9AwwDlIN3Kprqa1LCwP
SAWTOOTH,RAPTURE,REAPER,4VBg2gBsO4cr0rGlNyzEsd,https://open.spotify.com/track/4VBg2gBsO4cr0rGlNyzEsd
SICK FLOW,RAPTURE,REAPER,3aXyd5nZrLDUvOMdhJREnf,https://open.spotify.com/track/3aXyd5nZrLDUvOMdhJREnf
UNHINGED,RAPTURE,REAPER,6wUzivXx7M81ljD3p0YNEs,https://open.spotify.com/track/6wUzivXx7M81ljD3p0YNEs
Away,Where U Are,Throttle,4yUofa1HJMyQNTU8VskwbU,https://open.spotify.com/track/4yUofa1HJMyQNTU8VskwbU
Bloom,Where U Are,Throttle,4iM70UuzYLeQmD0Z6ozVEB,https://open.spotify.com/track/4iM70UuzYLeQmD0Z6ozVEB
Cities,Where U Are,Throttle,6t67COokESOCeqHkMNroSu,https://open.spotify.com/track/6t67COokESOCeqHkMNroSu
Dreamer,Where U Are,Throttle,3Z72gCQwlmsY7sKrqQSOl3,https://open.spotify.com/track/3Z72gCQwlmsY7sKrqQSOl3
For Me,Where U Are,Throttle,5wfRnupjI4OXpKCulkWJ4r,https://open.spotify.com/track/5wfRnupjI4OXpKCulkWJ4r
Japan,Where U Are,Throttle,2K4CEf8uDWBbzSRlvto7Y0,https://open.spotify.com/track/2K4CEf8uDWBbzSRlvto7Y0
Where U Are,Where U Are,Throttle,31eOi2Kn9rhdU2Ss1eAPrq,https://open.spotify.com/track/31eOi2Kn9rhdU2Ss1eAPrq
TURBO,TURBO,Tokyo Machine,64SHOYWVboJqNaCBdE4ywv,https://open.spotify.com/track/64SHOYWVboJqNaCBdE4ywv
OFFLINE,OFFLINE,"LVTHER, EMAN8",4eWpw7fPRdu4GnSgaPLXnQ,https://open.spotify.com/track/4eWpw7fPRdu4GnSgaPLXnQ
I Don't Need You,Watch Yo Back,Slushii,7lW9aoXFcN2B09seN0wVyl,https://open.spotify.com/track/7lW9aoXFcN2B09seN0wVyl
I'd Do Anything,Watch Yo Back,"Slushii, Aviella",6sfV90QaERCWvLFp4sz4PK,https://open.spotify.com/track/6sfV90QaERCWvLFp4sz4PK
Run Up,Watch Yo Back,"Slushii, Carbin, Skyxxx",6AcgvFRuZ1vw7VrSZMUuuD,https://open.spotify.com/track/6AcgvFRuZ1vw7VrSZMUuuD
Test Me,Watch Yo Back,"Slushii, Dion Timmer",7D3KNbOAbyR7dYLX0BZuyU,https://open.spotify.com/track/7D3KNbOAbyR7dYLX0BZuyU
Watch Yo Back,Watch Yo Back,Slushii,64CDf9AzOx0JW6JsiJ6dk6,https://open.spotify.com/track/64CDf9AzOx0JW6JsiJ6dk6
Dream Odyssey,Dream Odyssey,Julian Calor,2l7SrVICbhNJaak7W54z3v,https://open.spotify.com/track/2l7SrVICbhNJaak7W54z3v
Galactic Trumpet,Dream Odyssey,Julian Calor,3kELgd4XBFOZFu0np4Ftww,https://open.spotify.com/track/3kELgd4XBFOZFu0np4Ftww
Time,Dream Odyssey,"Julian Calor, Aiobahn",50MVHXYAxRqN8u9vSb62Xx,https://open.spotify.com/track/50MVHXYAxRqN8u9vSb62Xx
Cold Ground,Cold Ground,"Direct, Matt Van",5vCCMYpS87bxpoSmVmJbrr,https://open.spotify.com/track/5vCCMYpS87bxpoSmVmJbrr
Give and Take,Cold Ground,Direct,5zR25D3TArVkhjSrPJsZeD,https://open.spotify.com/track/5zR25D3TArVkhjSrPJsZeD
I'll Go,Cold Ground,"Direct, Park Avenue",72pGB4XOzAE45n0Zt7wP5A,https://open.spotify.com/track/72pGB4XOzAE45n0Zt7wP5A
LA2016,Cold Ground,"Direct, Mr FijiWiji",12xK9VqMemZ6jG1NO05KAZ,https://open.spotify.com/track/12xK9VqMemZ6jG1NO05KAZ
Left Behind,Cold Ground,Direct,7h8HyzWkOzg1sPKKpz9AMD,https://open.spotify.com/track/7h8HyzWkOzg1sPKKpz9AMD
From Dust & Ashes,From Dust & Ashes,Notaker,66d6V7EECK4dZK2ZcG8CAN,https://open.spotify.com/track/66d6V7EECK4dZK2ZcG8CAN
Changed,Changed,"CloudNone, Laura Brehm",3sCaEydFEDskEEIa4Z6NSf,https://open.spotify.com/track/3sCaEydFEDskEEIa4Z6NSf
Battlecry,Battlecry,"Mazare, Philip Strand",6L15tAYXnwLc5pJF27V8rd,https://open.spotify.com/track/6L15tAYXnwLc5pJF27V8rd
Enough,Enough,Glacier,1qYdjpPAmBgpoTLft3ZcDE,https://open.spotify.com/track/1qYdjpPAmBgpoTLft3ZcDE
The One - Asdek Remix,The One (The Remixes),"Habstrakt, Asdek",6284y5LvMyltiMaAETIOiW,https://open.spotify.com/track/6284y5LvMyltiMaAETIOiW
The One - Basstrick Remix,The One (The Remixes),"Habstrakt, Basstrick",1bIzhPKu177E3Q1FsBEz2p,https://open.spotify.com/track/1bIzhPKu177E3Q1FsBEz2p
The One - Effin Remix,The One (The Remixes),"Habstrakt, Effin",08Iw2P8UUIN7PJiYoA7Amz,https://open.spotify.com/track/08Iw2P8UUIN7PJiYoA7Amz
The One - NGHTMRE Remix,The One (The Remixes),"Habstrakt, NGHTMRE",0z6BBM8lek2dzvnuIOX1Wx,https://open.spotify.com/track/0z6BBM8lek2dzvnuIOX1Wx
The One - Nitepunk Remix,The One (The Remixes),"Habstrakt, Nitepunk",0E18GJ3Fskk9DxcOwqox43,https://open.spotify.com/track/0E18GJ3Fskk9DxcOwqox43
Evil Inside,Evil Inside,"Dirtyphonics, Bossfight",1aTufp89NnAN0cyMWdLxFQ,https://open.spotify.com/track/1aTufp89NnAN0cyMWdLxFQ
Blink 182,Mostly We Grow Pt. 2,Half an Orange,0TmVDoSM2AbPATXAom7TCN,https://open.spotify.com/track/0TmVDoSM2AbPATXAom7TCN
Mark Twain,Mostly We Grow Pt. 2,Half an Orange,6tVUYXoARGbnPVegcWsIEt,https://open.spotify.com/track/6tVUYXoARGbnPVegcWsIEt
Sunscreen,Mostly We Grow Pt. 2,Half an Orange,2i0xvyZGjlFZGuSitvQI9q,https://open.spotify.com/track/2i0xvyZGjlFZGuSitvQI9q
Video Games,Mostly We Grow Pt. 2,Half an Orange,69ogqKeyydHsFVuLDGHnhE,https://open.spotify.com/track/69ogqKeyydHsFVuLDGHnhE
Dark,Life & Death,Stonebank,3xBf50HmuTDaBVIMV15qpF,https://open.spotify.com/track/3xBf50HmuTDaBVIMV15qpF
Give Me That Fire,Life & Death,Stonebank,3bHqZyyMxEHLWyD53af9jQ,https://open.spotify.com/track/3bHqZyyMxEHLWyD53af9jQ
Life & Death,Life & Death,Stonebank,4yhRUkGFZ67deJhK0ymGCr,https://open.spotify.com/track/4yhRUkGFZ67deJhK0ymGCr
Take Me Higher,Life & Death,Stonebank,5JYhtW0UxKjJBDRrp3fWZw,https://open.spotify.com/track/5JYhtW0UxKjJBDRrp3fWZw
To The Top,Life & Death,Stonebank,6GwHqpRaDdV6WcM2TeJ7AE,https://open.spotify.com/track/6GwHqpRaDdV6WcM2TeJ7AE
Want Your Love,Life & Death,"Stonebank, EMEL",3RJwovW81ZUFwAgfw7wAw4,https://open.spotify.com/track/3RJwovW81ZUFwAgfw7wAw4
Why Does It Hurt,Life & Death,"Stonebank, EMEL",07qTUJfXHKZwkNYPIYCEpz,https://open.spotify.com/track/07qTUJfXHKZwkNYPIYCEpz
Get to Know You,Get to Know You,"Dexter King, Aviella",78rQveXiTLAxCxA7Mantdg,https://open.spotify.com/track/78rQveXiTLAxCxA7Mantdg
Aiwa,Dogma Resistance,RIOT,28jGcr8y6DAMj9dPTC0lT1,https://open.spotify.com/track/28jGcr8y6DAMj9dPTC0lT1
Blackwater,Dogma Resistance,RIOT,4lE6N1E0L8CssgKEUCgdbA,https://open.spotify.com/track/4lE6N1E0L8CssgKEUCgdbA
Desert To Desert (Interlude),Dogma Resistance,RIOT,40sosM27mVGm7iWMabfVgi,https://open.spotify.com/track/40sosM27mVGm7iWMabfVgi
Disorder (Rebirth),Dogma Resistance,RIOT,4RVDfCbycaRmyAAfxpSy9g,https://open.spotify.com/track/4RVDfCbycaRmyAAfxpSy9g
Jungle Fury,Dogma Resistance,RIOT,3QIovv6ZrMWJvk6yAo71xX,https://open.spotify.com/track/3QIovv6ZrMWJvk6yAo71xX
Last Stand (Interlude),Dogma Resistance,RIOT,1AESXXuJmrKyMuzGcaC5ya,https://open.spotify.com/track/1AESXXuJmrKyMuzGcaC5ya
Overkill,Dogma Resistance,RIOT,4XdaaDFE881SlIaz31pTAG,https://open.spotify.com/track/4XdaaDFE881SlIaz31pTAG
Overture 1990,Dogma Resistance,RIOT,34xIwcvzRA6uBiDJRfcRCa,https://open.spotify.com/track/34xIwcvzRA6uBiDJRfcRCa
Take That (Bonus Track),Dogma Resistance,RIOT,5Oxx2ro8QfsTFWrKXSLbvA,https://open.spotify.com/track/5Oxx2ro8QfsTFWrKXSLbvA
The Mob,Dogma Resistance,RIOT,4iikWl9Sw7B3ic1PJKFJyy,https://open.spotify.com/track/4iikWl9Sw7B3ic1PJKFJyy
Hyperventilate,No Sleep / Hyperventilate,"Tails, Leotie",4o0PBGfMQrLD3tbHdP0368,https://open.spotify.com/track/4o0PBGfMQrLD3tbHdP0368
No Sleep,No Sleep / Hyperventilate,"Tails, Beach Season",4XO0c2DlhbTBAOTuxLocTY,https://open.spotify.com/track/4XO0c2DlhbTBAOTuxLocTY
Falling,Falling,Crankdat,70MmVYbdS1uRvgUA7xLLZI,https://open.spotify.com/track/70MmVYbdS1uRvgUA7xLLZI
Crucified,Crucified,"SLUMBERJACK, Daktyl, MOONZz",1Srhot8FUSbjrMiXT7ZPAp,https://open.spotify.com/track/1Srhot8FUSbjrMiXT7ZPAp
Brostep Strikes Back,Brostep Strikes Back,Gammer,70xG7bK11VRvGr0fniPyaP,https://open.spotify.com/track/70xG7bK11VRvGr0fniPyaP
Trouble,Trouble,"Nonsens, Sweater Beats",2LDK39x7TL8HZ2GvTy7y5A,https://open.spotify.com/track/2LDK39x7TL8HZ2GvTy7y5A
BAD BOY,BAD BOY,"Tokyo Machine, YAKO",70TxHF4WGznMrEIlyPjyPP,https://open.spotify.com/track/70TxHF4WGznMrEIlyPjyPP
Millennia,Millennia,Pixel Terror,3zYcdTFPsQrh4az4YY1wmg,https://open.spotify.com/track/3zYcdTFPsQrh4az4YY1wmg
Your Pain,Your Pain,Koven,4IvMKdFVbOR6BGFLyHx7Vp,https://open.spotify.com/track/4IvMKdFVbOR6BGFLyHx7Vp
WISH,WISH,CloudNone,3MbsCmgq7W4Z8ruxNbmd0g,https://open.spotify.com/track/3MbsCmgq7W4Z8ruxNbmd0g
Addicted,Addicted,Nitro Fun,2L18pj2uwLnb8HERyrNiaU,https://open.spotify.com/track/2L18pj2uwLnb8HERyrNiaU
Play It Cool,Play It Cool,"Terry Zhong, Conro",2DRtAE3n0dkxjl6BulDfXn,https://open.spotify.com/track/2DRtAE3n0dkxjl6BulDfXn
Real,Real,Habstrakt,3mdyi1i0w7bfe72a2GX4JX,https://open.spotify.com/track/3mdyi1i0w7bfe72a2GX4JX
You Used To,You Used To,"Duumu, I See Colors, Luma",1ZZ6XWVDYCXs1mzg1Dn2fq,https://open.spotify.com/track/1ZZ6XWVDYCXs1mzg1Dn2fq
Isolation,Isolation,"Protostar, hayve",3nyY9HIn6zGJa6AkI1DuOR,https://open.spotify.com/track/3nyY9HIn6zGJa6AkI1DuOR
Iris in the Dark,URCA,"Just A Gent, McCall",4BsN2VLlvd3BBJCt7gpwkc,https://open.spotify.com/track/4BsN2VLlvd3BBJCt7gpwkc
Open Spaces,URCA,"Just A Gent, Nevve",36tA7Q12FF5L6xKUYwBc97,https://open.spotify.com/track/36tA7Q12FF5L6xKUYwBc97
Time Voyage,URCA,"Just A Gent, Hauskey",4rUGyCbJurjAqvRZUn5s7A,https://open.spotify.com/track/4rUGyCbJurjAqvRZUn5s7A
URCA,URCA,"Just A Gent, Olivia Grace",3rflwqSoCDpJZuGQ8VLvqj,https://open.spotify.com/track/3rflwqSoCDpJZuGQ8VLvqj
Wings,URCA,"Just A Gent, Olivia Grace",0jEiQpRzmXjZRRr2EBTbKK,https://open.spotify.com/track/0jEiQpRzmXjZRRr2EBTbKK
Shouldn't,Shouldn't,"WHIPPED CREAM, REAPER",35S2uxTzrmVpsTVbWiUfKO,https://open.spotify.com/track/35S2uxTzrmVpsTVbWiUfKO
Somebody,Somebody,"Gareth Emery, Kovic",46hzMcgAeemcnGmMUAfX93,https://open.spotify.com/track/46hzMcgAeemcnGmMUAfX93
All Night,All Night,"KUURO, Clockvice",1x6EdYKnnoQxB5h4byk56H,https://open.spotify.com/track/1x6EdYKnnoQxB5h4byk56H
Followers,Give You Up / Followers,Koven,4B4ttMG8qlcRhA5AYgP7E7,https://open.spotify.com/track/4B4ttMG8qlcRhA5AYgP7E7
Give You Up,Give You Up / Followers,Koven,2AM9WtRMloKC0k4dl4Uvg7,https://open.spotify.com/track/2AM9WtRMloKC0k4dl4Uvg7
No Sleep - VIP,No Sleep (VIP),Bossfight,6B2GooYt1P1mRLuPRHfJDr,https://open.spotify.com/track/6B2GooYt1P1mRLuPRHfJDr
Where Will We Go - Acoustic,Where Will We Go (Acoustic),Grant,6voo8x5qmBvabjEOxPHesp,https://open.spotify.com/track/6voo8x5qmBvabjEOxPHesp
Hot - VIP,Hot,"FWLR, dyl",6TieeTIBsrkLewCbmqqtRV,https://open.spotify.com/track/6TieeTIBsrkLewCbmqqtRV
Where Do We Go - VIP,Where Do We Go (VIP),"Mazare, RUNN",0U7mpjNkCqXY9pgzHXh2lW,https://open.spotify.com/track/0U7mpjNkCqXY9pgzHXh2lW
Ripped To Pieces - VIP,Ripped To Pieces (VIP),"Stonebank, EMEL",2OY6AOULfnbU0ul53RCINF,https://open.spotify.com/track/2OY6AOULfnbU0ul53RCINF
Japan - Acoustic,Japan (Acoustic),Throttle,2VGdUITtbc8CDKZD4p6XPV,https://open.spotify.com/track/2VGdUITtbc8CDKZD4p6XPV
Bittersweet,Bittersweet,Pixel Terror,1Bf6VnVlEJwzXfuYw4ojFR,https://open.spotify.com/track/1Bf6VnVlEJwzXfuYw4ojFR
Where I Belong,Where I Belong,"Protostar, Emma McGann",6kjl9utzXBGxYGP6FuBDPn,https://open.spotify.com/track/6kjl9utzXBGxYGP6FuBDPn
