title,album,artist,id,url
A Cause And Effect,Make You Mine,Approaching Black,2hR48fmeaUy2AHrcbznrvB,https://open.spotify.com/track/2hR48fmeaUy2AHrcbznrvB
Addicted,Addicted,Whales,10Ypa5Os3CqBKRZT8K2V9Q,https://open.spotify.com/track/10Ypa5Os3CqBKRZT8K2V9Q
Be Here (La La La),Be Here (La La La),"WHIPPED CREAM, The Duchess",4JXgJ33UmguXF3F9B5LwlD,https://open.spotify.com/track/4JXgJ33UmguXF3F9B5LwlD
Blood Rush - Spotify Singles,Spotify Singles,GG Magree,487irnHaIRbh6VOWFf9qGs,https://open.spotify.com/track/487irnHaIRbh6VOWFf9qGs
CODES,CODES,"OddKidOut, Macntaj",7HNsbDFhZhs2qhEjC2W3om,https://open.spotify.com/track/7HNsbDFhZhs2qhEjC2W3om
Collecting Thoughts,Collecting Thoughts,"Koven, ShockOne",4iZjLwKa4VUZBeeMvgyNeL,https://open.spotify.com/track/4iZjLwKa4VUZBeeMvgyNeL
Come Clean - Spotify Singles,Spotify Singles,GG Magree,2gsWt9FOHIq4Z7p5CXUD9j,https://open.spotify.com/track/2gsWt9FOHIq4Z7p5CXUD9j
Cyan,Malva,"Flexible Fire, Etza",0o4GFEcDdhbfGruMLIPOKV,https://open.spotify.com/track/0o4GFEcDdhbfGruMLIPOKV
Different,Different,"Fløa, OAI",3rnFEiW9efHwnzsb9KzUVd,https://open.spotify.com/track/3rnFEiW9efHwnzsb9KzUVd
Dilemma,Dilemma,"Stonebank, Bianca",1B9t3ewu5mPiFHbWcGudRk,https://open.spotify.com/track/1B9t3ewu5mPiFHbWcGudRk
Double Tap,Double Tap,"Going Quantum, hayve",4bc9Yk2C6ad3fAnTLfrBGZ,https://open.spotify.com/track/4bc9Yk2C6ad3fAnTLfrBGZ
Endless (Best of Me),Endless (Best of Me),"Afinity, Nevve",1UyiFox8VnAAFRweBDKhy0,https://open.spotify.com/track/1UyiFox8VnAAFRweBDKhy0
Feel Again,Journey To Ascendance,YULA,4kqikvllN5GRPrxf9vQ1SR,https://open.spotify.com/track/4kqikvllN5GRPrxf9vQ1SR
GALACTICAL,GALACTICAL,Tokyo Machine,3fRF3qz1d8f6Sx2dnhPUZZ,https://open.spotify.com/track/3fRF3qz1d8f6Sx2dnhPUZZ
Garden's Edge,Garden's Edge,Odsen,1uuTI3HJbxIB08RwfIzbir,https://open.spotify.com/track/1uuTI3HJbxIB08RwfIzbir
Ghost,Ghost,"WILL K, Drove",6nRh4WwS6Xf8j87U8YFWnh,https://open.spotify.com/track/6nRh4WwS6Xf8j87U8YFWnh
Good Times,Different,"Fløa, OAI",1WnSUyG5FQwIwWYMzMTkRS,https://open.spotify.com/track/1WnSUyG5FQwIwWYMzMTkRS
Hopeful,Hopeful,"Banaati, Brandon Mignacca",6D94kYTNC5WWi218Xi6K6Q,https://open.spotify.com/track/6D94kYTNC5WWi218Xi6K6Q
In My Feelings,Make You Mine,Approaching Black,0pgwo0KZuqBCwHqpAw7zC4,https://open.spotify.com/track/0pgwo0KZuqBCwHqpAw7zC4
Invane,Invane,"Spag Heddy, Viperactive",5GXQKVMqoz4jBQA6Botohj,https://open.spotify.com/track/5GXQKVMqoz4jBQA6Botohj
Karibu,Karibu,Vintage & Morelli,5h2qGN5jMJXp68VzQuMqql,https://open.spotify.com/track/5h2qGN5jMJXp68VzQuMqql
