title,album,artist,id,url
Jump Around,Jump Around,"Dillon Nathaniel, Kevin McKay",63fQTOIVo5EMZauf2QAH5W,https://open.spotify.com/track/63fQTOIVo5EMZauf2QAH5W
Jungle,Jungle,Rob Black,7qUKunNI8Gvfn6uM2EOhLE,https://open.spotify.com/track/7qUKunNI8Gvfn6uM2EOhLE
Love Vibration,Love Vibration,ESSEL,5B2Fil0dJNfob1W8gpL5E4,https://open.spotify.com/track/5B2Fil0dJNfob1W8gpL5E4
Human (feat. Echoes),Human (feat. Echoes),"John Summit, Echoes",4G4patpYxsF6ovHZOX9wgR,https://open.spotify.com/track/4G4patpYxsF6ovHZOX9wgR
Feel Alright,Feel Alright,Dillon Nathaniel,6tcAIvGYzQP9dVb28BjANR,https://open.spotify.com/track/6tcAIvGYzQP9dVb28BjANR
My Dimension,My Dimension,Gabe,7vp6sra1FqF2VK6hRUPJRo,https://open.spotify.com/track/7vp6sra1FqF2VK6hRUPJRo
You Should Already Know,You Should Already Know,Croatia Squad,6fBHOF46O8LUNI78ZtAK7S,https://open.spotify.com/track/6fBHOF46O8LUNI78ZtAK7S
All I Do,All I Do,Ben Miller (Aus),1iKkDpq64zlW1Cv3zdrOaX,https://open.spotify.com/track/1iKkDpq64zlW1Cv3zdrOaX
Feel The Vibe,Feel The Vibe,"Martin Ikin, Astrotrax, Shola Phillips",12RAnp0xkdW22UGfgejElE,https://open.spotify.com/track/12RAnp0xkdW22UGfgejElE
Back Seat - Chris Lorenzo Remix,Back Seat (Chris Lorenzo Remix),"Anna Lunoe, Genesis Owusu, Chris Lorenzo",6ZbJz7FWWa3m5QbTudts8K,https://open.spotify.com/track/6ZbJz7FWWa3m5QbTudts8K
Backfire,Backfire,"Shermanology, Jay Colin",632paTWO6lWhhkpSPvlKiG,https://open.spotify.com/track/632paTWO6lWhhkpSPvlKiG
Believe,Believe,Eli Brown,40up5wCfwQXTDXyE18hJbJ,https://open.spotify.com/track/40up5wCfwQXTDXyE18hJbJ
Infrared,Infrared,Burko,3yHiLDeERi7k1q3InysVYI,https://open.spotify.com/track/3yHiLDeERi7k1q3InysVYI
Alley Rave,Alley Rave,Andrea Oliva,630fy1dTAKtfY1DJXLYyds,https://open.spotify.com/track/630fy1dTAKtfY1DJXLYyds
Big Dancing,Big Dancing,Dots Per Inch,6iBJ8ma4gGgCJtch1WZaKi,https://open.spotify.com/track/6iBJ8ma4gGgCJtch1WZaKi
California Dreamin’ (feat. High Jinx) (Vintage Culture Remix),California Dreamin’ (feat. High Jinx) (Vintage Culture Remix),"Chris Lorenzo, Vintage Culture, High Jinx",19lT0l1OBkLtWI5iE5zORl,https://open.spotify.com/track/19lT0l1OBkLtWI5iE5zORl
