title,album,artist,id,url
A Milli,Tha Carter III,Lil Wayne,3uqinR4FCjLv28bkrTdNX5,https://open.spotify.com/track/3uqinR4FCjLv28bkrTdNX5
All Around The World (La La La),All Around The World (La La La),"R3HAB, A Touch Of Class",02itaCXOdC54J0ISjqqFAp,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
"Alone, Pt. II","Alone, Pt. II","Alan Walker, Ava Max",0bMbDctzMmTyK2j74j3nF3,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
Astronaut In The Ocean - Alok Remix,Astronaut In The Ocean (Alok Remix),"Masked Wolf, Alok",1yX6sh2TkrT5hsXodo7aS6,https://open.spotify.com/track/1yX6sh2TkrT5hsXodo7aS6
Bangarang (feat. Sirah),Bangarang EP,"Skrillex, Sirah",6VRhkROS2SZHGlp0pxndbJ,https://open.spotify.com/track/6VRhkROS2SZHGlp0pxndbJ
Calabria,Calabria,"DMNDS, Fallen Roses, Strange Fruits Music, Lujavo, Nito-Onna",1evWpIlEfSZnXtHtpILB6b,https://open.spotify.com/track/1evWpIlEfSZnXtHtpILB6b
Cinema - Skrillex Remix,Cinema,Benny Benassi,39tf7BmdD6n18iWYkgRHIP,https://open.spotify.com/track/39tf7BmdD6n18iWYkgRHIP
Day 'N' Nite - Crookers Remix,Man On The Moon: The End Of Day (Int'l Version),"Kid Cudi, Crookers",34sGnIHB3ZthMvHpNX1i7e,https://open.spotify.com/track/34sGnIHB3ZthMvHpNX1i7e
Dead Girl! (Shake My Head),Dead Girl! (Shake My Head),"Au/Ra, Alan Walker",4inWxO0vnDzZsq32p0cHJm,https://open.spotify.com/track/4inWxO0vnDzZsq32p0cHJm
Don't Let Me Down,Don't Let Me Down,"The Chainsmokers, Daya",1i1fxkWeaMmKEB4T7zqbzK,https://open.spotify.com/track/1i1fxkWeaMmKEB4T7zqbzK
Don't Say Goodbye (feat. Tove Lo),Don't Say Goodbye (feat. Tove Lo),"Alok, Ilkay Sencan, Tove Lo",0GTPmh5G40joBg93vcSQNq,https://open.spotify.com/track/0GTPmh5G40joBg93vcSQNq
Don't You Hold Me Down,Walker Racing League,"Alan Walker, Georgia Ku",4Hp7WsvXOi2Xl7JyLB5II9,https://open.spotify.com/track/4Hp7WsvXOi2Xl7JyLB5II9
End of Time (VIZE Remix),End of Time (Remixes),"K-391, Alan Walker, Ahrix, VIZE",2FZu6masL1wnWqiPUPnRAW,https://open.spotify.com/track/2FZu6masL1wnWqiPUPnRAW
Fast Lane,Hell: The Sequel (Deluxe),Bad Meets Evil,2c5Isyd07hWsl7AQia2Dig,https://open.spotify.com/track/2c5Isyd07hWsl7AQia2Dig
Feel So Close - Nero Remix,Feel So Close,Calvin Harris,4vyEY2Nd22H4ErNjSv2qzq,https://open.spotify.com/track/4vyEY2Nd22H4ErNjSv2qzq
Finish Lines,Walker Racing League,Alan Walker,74D929JPlurMbceCFf5v9Z,https://open.spotify.com/track/74D929JPlurMbceCFf5v9Z
Flashing Lights,Graduation,"Kanye West, Dwele",31I3Rt1bPa2LrE74DdNizO,https://open.spotify.com/track/31I3Rt1bPa2LrE74DdNizO
Furious,The Fast And The Furious Soundtrack Collection,"Ja Rule, Vita, O1",3TraQA1qeitrOLvT8nhe2P,https://open.spotify.com/track/3TraQA1qeitrOLvT8nhe2P
Gas Pedal (feat. IamSu),EMPIRE Presents: Ratchet Music,Sage The Gemini,336DdRIoecgXcX18JHvm4N,https://open.spotify.com/track/336DdRIoecgXcX18JHvm4N
Go Hard or Go Home,Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",4IXiFMhtXEbSEG8UoAeTwD,https://open.spotify.com/track/4IXiFMhtXEbSEG8UoAeTwD
Goodbye,Goodbye,"Imanbek, Goodboys",4crczEC1PpoD8TsDsmoWNI,https://open.spotify.com/track/4crczEC1PpoD8TsDsmoWNI
Goosebumps - Remix,Goosebumps (Remix),"Travis Scott, HVME",5uEYRdEIh9Bo4fpjDd4Na9,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
