title,album,artist,id,url
All My Life,All My Life,"Tiësto, FAST BOY",3qCCQas6tIP15Yjgu3gl9S,https://open.spotify.com/track/3qCCQas6tIP15Yjgu3gl9S
Aria,Aria,"Argy, Omnya",3M1r9ilL53PLcrLdIuyZ4J,https://open.spotify.com/track/3M1r9ilL53PLcrLdIuyZ4J
Ascend,Ascend,Dezko,199wv1uOJYZ1XyK8FTzwh2,https://open.spotify.com/track/199wv1uOJYZ1XyK8FTzwh2
Atmosphere,Atmosphere,"FISHER, Kita Alexander",1aNUSKBe6UMyMk3pEu9ws7,https://open.spotify.com/track/1aNUSKBe6UMyMk3pEu9ws7
BOTH - David Guetta & Seth Hills Remix,BOTH (David Guetta & Seth Hills Remix),"Tiësto, David Guetta, Seth Hills",6b7Z5ICFy6TbQwshMr9ORO,https://open.spotify.com/track/6b7Z5ICFy6TbQwshMr9ORO
Back In The Taxi - AMÉMÉ Midnight Remix,Back In The Taxi (AMÉMÉ Remix),"Jan Blomqvist, AMÉMÉ",7psofiqt8ta0d1q0l5YXGk,https://open.spotify.com/track/7psofiqt8ta0d1q0l5YXGk
Badders,Badders,"PEEKABOO, Flowdan, Skrillex, G-Rex",4zbInBD4rY7tYPJ16LVxdh,https://open.spotify.com/track/4zbInBD4rY7tYPJ16LVxdh
Believe,Believe,Eli Brown,1STyRAWBlr18jm9aRBVrqE,https://open.spotify.com/track/1STyRAWBlr18jm9aRBVrqE
Black Dress - Anyma Remix,Black Dress (Anyma Remix),"070 Shake, Anyma",72R88Czym52F41DZWxL2fY,https://open.spotify.com/track/72R88Czym52F41DZWxL2fY
Body Moving,Body Moving,"Eliza Rose, Calvin Harris",5SFCEkybGYmmzKqewtDEaN,https://open.spotify.com/track/5SFCEkybGYmmzKqewtDEaN
Bout To Lose It,Bout To Lose It,Eljé,3spGO8jts4Q9V67iFB77ax,https://open.spotify.com/track/3spGO8jts4Q9V67iFB77ax
Brighter - A7S Remix,Brighter (A7S Remix),"Kaskade, Emmit Fenn, A7S",2hHdNPdY3oXDfCi8F4TKl5,https://open.spotify.com/track/2hHdNPdY3oXDfCi8F4TKl5
Deep Down,Deep Down,Eli Brown,2gyh8uqnB5jkZQT9norbkW,https://open.spotify.com/track/2gyh8uqnB5jkZQT9norbkW
Desire (with Sam Smith),Desire (with Sam Smith),"Calvin Harris, Sam Smith",22dUzMFttcR3uU17NcOAIv,https://open.spotify.com/track/22dUzMFttcR3uU17NcOAIv
Diamonds On My Mind,Diamonds On My Mind,Eli Brown,5AWGyFvWNof3Knq7QrN3jD,https://open.spotify.com/track/5AWGyFvWNof3Knq7QrN3jD
Don't Stop,Don't Stop,Biscits,73Aj6vBOimEVHMMm67YmcU,https://open.spotify.com/track/73Aj6vBOimEVHMMm67YmcU
Dress Code,Dress Code,Mau P,0rK3a7tLRVgJBoc2DP3tIX,https://open.spotify.com/track/0rK3a7tLRVgJBoc2DP3tIX
Drop It Down,Drop It Down,"Eli Brown, Joyhauser",6euR4VW88wRwG6TTXI8YEE,https://open.spotify.com/track/6euR4VW88wRwG6TTXI8YEE
Easy,Easy,"3LAU, XIRA",6tOd448QY4mwJotfxQPgYR,https://open.spotify.com/track/6tOd448QY4mwJotfxQPgYR
Endless Summer (MEDUN Remix),Endless Summer (MEDUN Remix),"Alan Walker, Zak Abel, MEDUN",2btTWPY98Y0dQz4pTT4Nml,https://open.spotify.com/track/2btTWPY98Y0dQz4pTT4Nml
Escape,My Dreams,Aaron Shirk,3knaijKmNOvjSFzKhYIzmK,https://open.spotify.com/track/3knaijKmNOvjSFzKhYIzmK
Fade Out (with MKLA),Fade Out (with MKLA),"John Summit, MKLA",6gs5VDiNpbBfXHsAj2c9SB,https://open.spotify.com/track/6gs5VDiNpbBfXHsAj2c9SB
Final Journey,My Dreams,Aaron Shirk,3hwQsnWRiRZLtAFTXQYnCi,https://open.spotify.com/track/3hwQsnWRiRZLtAFTXQYnCi
Fuck Right Off,Fuck Right Off,Aliiias,7tu0XNOoQxBm4TpvRx8e65,https://open.spotify.com/track/7tu0XNOoQxBm4TpvRx8e65
Ghosts 'n' Stuff (feat. Rob Swire) [Jauz Remix],Ghosts 'n' Stuff (feat. Rob Swire) [Jauz Remix],"deadmau5, Jauz, Rob Swire",70vjXI7oBou5buTtgiJeRW,https://open.spotify.com/track/70vjXI7oBou5buTtgiJeRW
Good Love - Tiësto Remix,Good Love (Tiësto Remix),"Hannah Laing, RoRo, Tiësto",64EVtIxtoYJorqaMjHGzPM,https://open.spotify.com/track/64EVtIxtoYJorqaMjHGzPM
Holding On,Holding On,"Ryos, Diegx, Britt Lari",2PerLMNwUJvfcqvBFTx547,https://open.spotify.com/track/2PerLMNwUJvfcqvBFTx547
How Long Have You Been Away?,krypt. vol2,kryptogram,5H7NVUGfw8fstj1LWJ0wXo,https://open.spotify.com/track/5H7NVUGfw8fstj1LWJ0wXo
Hungover (with Camden Cox),Hungover (with Camden Cox),"John Summit, Mathame, Camden Cox",1HmeANWuuCP6ldvGgKwTLi,https://open.spotify.com/track/1HmeANWuuCP6ldvGgKwTLi
Infraliminal,Infraliminal,"REZZMAU5, deadmau5, Rezz",7syNqxCLAQZzQlkRyJIfDr,https://open.spotify.com/track/7syNqxCLAQZzQlkRyJIfDr
Jungle,Jungle,"Alok, The Chainsmokers, Mae Stephens",0OvO2X2Q3i98dc5RcgEN3x,https://open.spotify.com/track/0OvO2X2Q3i98dc5RcgEN3x
L.I.F.E,L.I.F.E,"&ME, Keinemusik",3BWFWF4G8XySY7b98HjS6K,https://open.spotify.com/track/3BWFWF4G8XySY7b98HjS6K
Legacy,Legacy,"John Summit, VLTRA (IT)",52jCFwQBAf04Bi8xrE8DJu,https://open.spotify.com/track/52jCFwQBAf04Bi8xrE8DJu
