title,album,artist,id,url
Bittersweet,Bittersweet,"Giuseppe Ottaviani, Katrine Stenbekk",0CmfSbkGGv2jH4qGo0vjb3,https://open.spotify.com/track/0CmfSbkGGv2jH4qGo0vjb3
Can't Give It Up - Instrumental,Skan's Best Productions,Skan,1OPPa9b0yKfgaQR8ELkLpF,https://open.spotify.com/track/1OPPa9b0yKfgaQR8ELkLpF
Centaurus (ASOT 1088),ASOT 1088 - A State Of Trance Episode 1088,"Last Soldier, Ariams",02OpeFQCJefVTtaXnsHF4T,https://open.spotify.com/track/02OpeFQCJefVTtaXnsHF4T
Criminals,Criminals,"Chris Keya, Celina",5HnhcDRF47L7JJccmMdTGg,https://open.spotify.com/track/5HnhcDRF47L7JJccmMdTGg
Drive Away (Bogar Uriel Remix),Drive Away (The Remixes),"Krewella, Bogar Uriel",3yzz9B5noPhu2ZIIGH0fUF,https://open.spotify.com/track/3yzz9B5noPhu2ZIIGH0fUF
Esta Si,Esta Si,"Vini Vici, Diego Miranda, Chimo Bayo",3reyHrjQqNBv35CBKKfX2s,https://open.spotify.com/track/3reyHrjQqNBv35CBKKfX2s
Extremes,Extremes,"Alan Walker, Trevor Daniel",5nkkVqGi9YgFOwdbn4BYFM,https://open.spotify.com/track/5nkkVqGi9YgFOwdbn4BYFM
FULL ASSAULT,FULL ASSAULT / ALL THAT U WANT,"Varien, Psylla, JACKIE EXTREME",3cfaX2K9Jv3Aj8joDU1Iz0,https://open.spotify.com/track/3cfaX2K9Jv3Aj8joDU1Iz0
Hurt,Hurt,"Heyz, Misdom",4hSmhoWceZfpoTopxcvaEr,https://open.spotify.com/track/4hSmhoWceZfpoTopxcvaEr
I'm Good (Blue) - Tiësto Remix,I'm Good (Blue) [Remixes],"David Guetta, Bebe Rexha, Tiësto",7gLKUPLGMzPhw90Ara5ZEc,https://open.spotify.com/track/7gLKUPLGMzPhw90Ara5ZEc
Jack - Sophon Remix,Jack (Sophon Remix),"Pegboard Nerds, Sophon",46ecCazSzxaZm4BVj5Cejv,https://open.spotify.com/track/46ecCazSzxaZm4BVj5Cejv
Kiwi,Kiwi,"Snavs, Foramic",55b0r9RIvfhCJKCRqpGy4q,https://open.spotify.com/track/55b0r9RIvfhCJKCRqpGy4q
Miracle Maker - Ejeca Remix,Miracle Maker (Ejeca Remix),"Dom Dolla, Clementine Douglas, Ejeca",7MDcf3pSWj1calkNnnMynn,https://open.spotify.com/track/7MDcf3pSWj1calkNnnMynn
Morenita - Matroda Remix,Morenita (Matroda Remix),"HUGEL, Cumbiafrica, Matroda",4Qa9y4SXsLBAhcRZUdtpOw,https://open.spotify.com/track/4Qa9y4SXsLBAhcRZUdtpOw
Move It - 4B Remix,Move It (Remixes),"Valentino Khan, Dillon Francis, 4B",1TjB9uqgkqD2beFGplQSlA,https://open.spotify.com/track/1TjB9uqgkqD2beFGplQSlA
On My Own,On My Own,"Said The Sky, William Black, SayWeCanFly",7JiWFKym2XX7vgQDt0uUmB,https://open.spotify.com/track/7JiWFKym2XX7vgQDt0uUmB
Outcast (with Fivio Foreign),Don Malaa,"Malaa, Fivio Foreign",1JNgvtfz2bzr4yvVImSvk1,https://open.spotify.com/track/1JNgvtfz2bzr4yvVImSvk1
Redemption,Redemption,Max Brhon,11hQpTbTymxIZzSmabCd9b,https://open.spotify.com/track/11hQpTbTymxIZzSmabCd9b
Sail Away (feat. Jay Mason) - The Arcturians Remix,The Way Back Up (Remixes),"Trivecta, Jay Mason, The Arcturians",1wRVBRjg8TqpzHJVa9EZc4,https://open.spotify.com/track/1wRVBRjg8TqpzHJVa9EZc4
Secrets (Tritonia 398),Tritonia 398,"VIVID, Nazzereene",2LktVfvPFPzolQDzGYrFe3,https://open.spotify.com/track/2LktVfvPFPzolQDzGYrFe3
Sharp Shooter,IN CASE OF FIRE EP,RIOT,0ViI8m9JgQlADPjsP0Nxo2,https://open.spotify.com/track/0ViI8m9JgQlADPjsP0Nxo2
Stop Thinking (feat. Lights),Stop Thinking (feat. Lights),"Seven Lions, Lights",6bfyfZ0UV3K9Broh54iXaw,https://open.spotify.com/track/6bfyfZ0UV3K9Broh54iXaw
Subtraction,calculating the end,Sysdemes,4qERDn4j7tUzVjgStBH6r0,https://open.spotify.com/track/4qERDn4j7tUzVjgStBH6r0
Sun In Your Eyes - William Orbit Remix,Sun In Your Eyes (William Orbit Remix),"Above & Beyond, William Orbit",3tQvAhGQqkDmIwRbhdxMzJ,https://open.spotify.com/track/3tQvAhGQqkDmIwRbhdxMzJ
The Machines,The Machines,"Zeds Dead, Blanke",3SH8GHdwJGXnoEmnCbPpJQ,https://open.spotify.com/track/3SH8GHdwJGXnoEmnCbPpJQ
Think About,Think About,"One True God, EDDIE",0mgpKVkh9yenAnNB0lTWO4,https://open.spotify.com/track/0mgpKVkh9yenAnNB0lTWO4
This Love (ABGT499),Group Therapy 499,Laura van Dam,2N5pcARTAjGHfLzQw27Ule,https://open.spotify.com/track/2N5pcARTAjGHfLzQw27Ule
Turkish Nights,IM25,"Infected Mushroom, Joseph E-Shine",1rg26UtRqvO6nHihmWOHwl,https://open.spotify.com/track/1rg26UtRqvO6nHihmWOHwl
Under Pressure,Under Pressure,"MEDUZA, Vintage Culture, Ben Samama",7q887Wj7xbhsSKhHct5xKM,https://open.spotify.com/track/7q887Wj7xbhsSKhHct5xKM
Wide Awake (feat. Charlie Houston) - Devault Remix,The Last Goodbye Remixes N°.1,"ODESZA, Devault, Charlie Houston",0paiz9l7JApY5fvOJDTY7M,https://open.spotify.com/track/0paiz9l7JApY5fvOJDTY7M
