title,album,artist,id,url
365,365,"Biscits, Camden Cox",5roFM0I1K6um2yIYL6kGq2,https://open.spotify.com/track/5roFM0I1K6um2yIYL6kGq2
Hella Good,Hella Good,"Niko The Kid, Benson",1ck6fXDzbKiWKCVSfqxsUB,https://open.spotify.com/track/1ck6fXDzbKiWKCVSfqxsUB
Losing Control,Losing Control,"Odd Mob, OMNOM",4LwxeWSBu0LQtEyGLb6FVP,https://open.spotify.com/track/4LwxeWSBu0LQtEyGLb6FVP
No Sleep (6AM) (feat. MERYLL),No Sleep (6AM) (feat. MERYLL),"Matroda, MERYLL",2hpoG18R8aBXB3O5QmheJt,https://open.spotify.com/track/2hpoG18R8aBXB3O5QmheJt
One Of A Kind,One Of A Kind,Tita Lau,0GL2DIZoRorbVbsRejFCaW,https://open.spotify.com/track/0GL2DIZoRorbVbsRejFCaW
One Pill,One Pill,VNSSA,3C74wo9oewRgcvMj14O7Xu,https://open.spotify.com/track/3C74wo9oewRgcvMj14O7Xu
The Edge,The Edge,ESSEL,33hGrBcDLopVhjbCxRlHPC,https://open.spotify.com/track/33hGrBcDLopVhjbCxRlHPC
Up N' Down,Up N' Down,"Deeper Purpose, BRN, JmNPR",2JGVEYGtla0PJeHF15Esdo,https://open.spotify.com/track/2JGVEYGtla0PJeHF15Esdo
Cheap Thrills,Cheap Thrills,"Walker & Royce, Barney Bones",1MFSuqSBKU0U8GsmXFPwm4,https://open.spotify.com/track/1MFSuqSBKU0U8GsmXFPwm4
"Mind Awake, Body Asleep","All Day, All Night","Odd Mob, OMNOM, HYPERBEAM",1dEtz42oboLOlGHCBrwmA9,https://open.spotify.com/track/1dEtz42oboLOlGHCBrwmA9
The Switch,The Switch,KREAM,2Uf2IFn75rflEjYN4z1YUR,https://open.spotify.com/track/2Uf2IFn75rflEjYN4z1YUR
Can You Feel It,Can You Feel It,MORTEN,2iBuBZcnnuDBV9qVcLCRh4,https://open.spotify.com/track/2iBuBZcnnuDBV9qVcLCRh4
Hypnotic,Hypnotic,Max Styler,1TCJjzvQn6zaIzckTZiabG,https://open.spotify.com/track/1TCJjzvQn6zaIzckTZiabG
RIZZ,RIZZ,AYYBO,3DqOJ2BoddzZpNdty3okJH,https://open.spotify.com/track/3DqOJ2BoddzZpNdty3okJH
My Body,My Body,LOVRA,3Xa11anZWV00L8cB0dtJpL,https://open.spotify.com/track/3Xa11anZWV00L8cB0dtJpL
I Can't Take No More,I Can't Take No More,Tita Lau,6AT2JACN4Fi5MPSBwuxnHJ,https://open.spotify.com/track/6AT2JACN4Fi5MPSBwuxnHJ
Make U Sweat,Make U Sweat,Martin Ikin,3IrAZTFMsy9ZPj5LurJ8vi,https://open.spotify.com/track/3IrAZTFMsy9ZPj5LurJ8vi
Give You,Give You,Odd Mob,3VrFR7A8qVKHmECL5tNIlf,https://open.spotify.com/track/3VrFR7A8qVKHmECL5tNIlf
