title,album,artist,id,url
Dreamer,Dreamer,Alan Walker,3eClq9oJiACXJZuCsErmWr,https://open.spotify.com/track/3eClq9oJiACXJZuCsErmWr
Alone,Alone,"BEAUZ, Heleen",1HynKU9h7mM3nhtLlnVDFu,https://open.spotify.com/track/1HynKU9h7mM3nhtLlnVDFu
Alone,Different World,Alan Walker,3LlmKSHR3Rs0Y3KHQLAYDk,https://open.spotify.com/track/3LlmKSHR3Rs0Y3KHQLAYDk
Are You Lonely - Steve Aoki Remix,Neon Future IV (Remixes),"Steve Aoki, Alan Walker, ISÁK",2tW75HGPzot4YzFiNSGQph,https://open.spotify.com/track/2tW75HGPzot4YzFiNSGQph
Avem (The Aviation Theme),Avem (The Aviation Theme),Alan Walker,0NBD4g9Zwy1rMAMWBYS6Ju,https://open.spotify.com/track/0NBD4g9Zwy1rMAMWBYS6Ju
Back To You,Back To You,Tobu,40ZIBWog1tqU5eaQH4Efdc,https://open.spotify.com/track/40ZIBWog1tqU5eaQH4Efdc
Fade,Origins,Alan Walker,0ICvpUuQrVd65WeZjVX44u,https://open.spotify.com/track/0ICvpUuQrVd65WeZjVX44u
Faded,Different World,Alan Walker,698ItKASDavgwZ3WjaWjtz,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
Feelings,Feelings,"Diviners, Azertion",7wUW5qYK19RlL6ljqDbc5x,https://open.spotify.com/track/7wUW5qYK19RlL6ljqDbc5x
For Good,For Good,"Guy Arthur, Clarx, Veronica Bravo",4sarKZgklpsCrHEDLueslH,https://open.spotify.com/track/4sarKZgklpsCrHEDLueslH
Force,Origins,Alan Walker,19unD7rG2TiZExkGw7arDQ,https://open.spotify.com/track/19unD7rG2TiZExkGw7arDQ
Happi,Happi,"Mangoo, bby ivy",2ZgohtyqMXzziMV7rDZoRw,https://open.spotify.com/track/2ZgohtyqMXzziMV7rDZoRw
Heading Home,Heading Home,"Alan Walker, Ruben",22O2Zdfj3jnJZDSzlDMAJp,https://open.spotify.com/track/22O2Zdfj3jnJZDSzlDMAJp
Headlights (feat. KIDDO),Headlights (feat. KIDDO),"Alok, Alan Walker, KIDDO",7BhmwvCdQZNwuQXSHw5TzP,https://open.spotify.com/track/7BhmwvCdQZNwuQXSHw5TzP
Home,Home,PLEEG,1b8pnOzyvGcV2mkTyb7DMg,https://open.spotify.com/track/1b8pnOzyvGcV2mkTyb7DMg
ITTY BITTY,ITTY BITTY,"Henri Werner, EHLE",6mf4SH1vuqb9xAsnEMxAOT,https://open.spotify.com/track/6mf4SH1vuqb9xAsnEMxAOT
If I Disappear,If I Disappear,"Tobu, Tom Mårtensson",5mIcxmKHXnhY1lJJDKJGxW,https://open.spotify.com/track/5mIcxmKHXnhY1lJJDKJGxW
Lily,Different World,"Alan Walker, K-391, Emelie Hollow",0lks2Kt9veMOFEAPN0fsqN,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
Linked,Linked,"Jim Yosef, Anna Yvette",7yfhESjiagb2x1WEWlgpbb,https://open.spotify.com/track/7yfhESjiagb2x1WEWlgpbb
Lost,Lost,"Andrew A, VIANI",5hOe51orNiMhr6kDgJXFkf,https://open.spotify.com/track/5hOe51orNiMhr6kDgJXFkf
Make Me Move,Make Me Move,"Culture Code, Karra",5ZAUiOlYURVJEJ5ktV03v5,https://open.spotify.com/track/5ZAUiOlYURVJEJ5ktV03v5
Melodia,Melodia,Syn Cole,5mslcDXYQbmOFL6s031NvN,https://open.spotify.com/track/5mslcDXYQbmOFL6s031NvN
Moments,Moments,"Lost Identities, Robbie Rosen",1sTKNKmcwHyE8Nxo2gNq77,https://open.spotify.com/track/1sTKNKmcwHyE8Nxo2gNq77
Move Your Body - Alan Walker Remix,This Is Acting (Deluxe Version),"Sia, Alan Walker",6LUOMjoORvAkdhBYvESO46,https://open.spotify.com/track/6LUOMjoORvAkdhBYvESO46
On My Way,World Of Walker,"Alan Walker, Sabrina Carpenter, Farruko",3BomnHfqKZCdPJC9bkGBjE,https://open.spotify.com/track/3BomnHfqKZCdPJC9bkGBjE
PS5 (Fortnite Battle Pass Gamer Remix) [with Alan Walker & Abdul Cisse],PS5 (Fortnite Battle Pass Gamer Remix) [with Alan Walker & Abdul Cisse] [Fortnite Battle Pass Gamer Remix/ with Alan Walker & Abdul Cisse],"salem ilese, Alan Walker, Abdul Cisse",0nb9kXzptLW51z6gX5jzz7,https://open.spotify.com/track/0nb9kXzptLW51z6gX5jzz7
Routine,Routine,"Alan Walker, David Whistle",19TSNGmvdTtlxYn4YqYUMf,https://open.spotify.com/track/19TSNGmvdTtlxYn4YqYUMf
Sing Me to Sleep,Different World,Alan Walker,1tfVpMI8G6EakZU4rEja4w,https://open.spotify.com/track/1tfVpMI8G6EakZU4rEja4w
Sleeping Till Noon (Feat. Moav),Sleeping Till Noon (Feat. Moav),"FROZT, Andrew A, Moav",1qHjc8tDi5jUfZK3GNca5X,https://open.spotify.com/track/1qHjc8tDi5jUfZK3GNca5X
Slow Down,Slow Down,"Jim Yosef, Shiah Maisel",0hgT59ZSZEkpgcBpgRGFls,https://open.spotify.com/track/0hgT59ZSZEkpgcBpgRGFls
Space Melody (Edward Artemyev) (feat. Leony),Walker Racing League,"VIZE, Alan Walker, Edward Artemyev, Leony",7dWfDJo6Q0VkqWeyDxadfQ,https://open.spotify.com/track/7dWfDJo6Q0VkqWeyDxadfQ
Spectre,Origins,Alan Walker,1DpcBu9lrHO6tmboAkdY4B,https://open.spotify.com/track/1DpcBu9lrHO6tmboAkdY4B
