title,album,artist,id,url
11 Minutes (feat. Travis Barker) - Kayzo Remix,11 Minutes (feat. Travis Barker) [Kayzo Remix],"YUNGBLUD, Travis Barker, Kayzo",0YbKNvAu6wHeM4bfRTZFT3,https://open.spotify.com/track/0YbKNvAu6wHeM4bfRTZFT3
20:25,20:25,"Flux Pavilion, What So Not, The Chain Gang Of 1974",3zwR7O61Dl7hsf5nwENrvy,https://open.spotify.com/track/3zwR7O61Dl7hsf5nwENrvy
Adore Me,Adore Me,EDX,63gYPtDx0OdIZcVFqSaQnG,https://open.spotify.com/track/63gYPtDx0OdIZcVFqSaQnG
After Dark,After Dark (Deluxe Edition),Essenger,7D4EF8Z3Q8jmfW545xJIDu,https://open.spotify.com/track/7D4EF8Z3Q8jmfW545xJIDu
Aftermath,Aftermath,"Pax Impera, ZABO",5EBKqeB97fZw8LpDXkJLWO,https://open.spotify.com/track/5EBKqeB97fZw8LpDXkJLWO
Air For Life - Norin & Rad Remix,Air For Life (Norin & Rad Remix),"Above & Beyond, Andy Moor",7mHHXdqxUvyo8B81QXN4am,https://open.spotify.com/track/7mHHXdqxUvyo8B81QXN4am
All For You - Dark Heart Remix,All For You (Dark Heart Remix),"Wilkinson, Karen Harding, Dark Heart",6Ym64wpEATGw1CtPDGHzlk,https://open.spotify.com/track/6Ym64wpEATGw1CtPDGHzlk
Annihilation,Annihilation,"i_o, Lights",0TzkG2s7nhpZs0RNSBsAlF,https://open.spotify.com/track/0TzkG2s7nhpZs0RNSBsAlF
Arcadia,Arcadia,Skeler,0bKIXko2IX0y0yOG0dzlrk,https://open.spotify.com/track/0bKIXko2IX0y0yOG0dzlrk
As The Rush Comes - Gabriel & Dresden Chillout Mix,As The Rush Comes,"Motorcycle, Gabriel & Dresden",2e2heYBbXWRsDsUtTIVIaF,https://open.spotify.com/track/2e2heYBbXWRsDsUtTIVIaF
Blood Hunter,Blood Hunter,Varien,7FWV0SaFxRg7TLjo163VgN,https://open.spotify.com/track/7FWV0SaFxRg7TLjo163VgN
Bloom,Bloom,"Kotori, Stessie",0L3gvkkP1kYnnyw7FS0rAC,https://open.spotify.com/track/0L3gvkkP1kYnnyw7FS0rAC
Born Yesterday,Born Yesterday,"Tritonal, Brigetta",4G55pTc04WhcDGh7VUCOkT,https://open.spotify.com/track/4G55pTc04WhcDGh7VUCOkT
Bruises,Bruises,"NGHTMRE, Grabbitz",5NflSsE6HC2R8Xa5sHgw2m,https://open.spotify.com/track/5NflSsE6HC2R8Xa5sHgw2m
Came For The Low,Came For The Low,"ZHU, partywithray",36LQYp5FNsuT5voIO9bdfZ,https://open.spotify.com/track/36LQYp5FNsuT5voIO9bdfZ
Crow - DJ-Kicks,Crow (DJ-Kicks),Forest Swords,2ZXfI11VZMuPmrJQlBRYIA,https://open.spotify.com/track/2ZXfI11VZMuPmrJQlBRYIA
Cyberpunk,Cyberpunk,Max Brhon,3O82ngwOEMwApKpSWQGLd7,https://open.spotify.com/track/3O82ngwOEMwApKpSWQGLd7
Death Rattle,Change & Decay,"Blanke, REAPER",09PXdHV9UTx8IdyC5RNyC8,https://open.spotify.com/track/09PXdHV9UTx8IdyC5RNyC8
Desire - Single Edit,Desire,"Bob Moses, ZHU",36Lb2L21fDT7vtl0r7zpa5,https://open.spotify.com/track/36Lb2L21fDT7vtl0r7zpa5
Don't Bring Me Down,Don't Bring Me Down,Justin OH,0fwfMoZWNZhKbFkUqE4Gkt,https://open.spotify.com/track/0fwfMoZWNZhKbFkUqE4Gkt
Double-Take,Double-Take,"BlackGummy, EDDIE",5wQmN4ZZK0EbUsvCi3tj4v,https://open.spotify.com/track/5wQmN4ZZK0EbUsvCi3tj4v
Downfall,After Dark (Deluxe Edition),"Essenger, Lexi Norton",5mAitcAt2Z23HIIINIcY0h,https://open.spotify.com/track/5mAitcAt2Z23HIIINIcY0h
Elements,Elements,Fractal,1YQKR9HxXvu045KE7CzI5H,https://open.spotify.com/track/1YQKR9HxXvu045KE7CzI5H
Fallen Angel,"Øfdream: Anthology, Pt. 1",Øfdream,6iKJAUeHx0saIoZ8z69Wam,https://open.spotify.com/track/6iKJAUeHx0saIoZ8z69Wam
Falling,Falling,"3LAU, DNMO",5CGGSHOjPX67D5pgkNSVEj,https://open.spotify.com/track/5CGGSHOjPX67D5pgkNSVEj
For a Feeling (feat. RHODES),For a Feeling (feat. RHODES),"CamelPhat, ARTBAT, RHODES",1wjQEAV31X26Za9KRAmqwz,https://open.spotify.com/track/1wjQEAV31X26Za9KRAmqwz
Genesis,Justice,Justice,4wSmqFg31t6LsQWtzYAJob,https://open.spotify.com/track/4wSmqFg31t6LsQWtzYAJob
Ghos7,Ghos7,Pyramid,4cHzauvoF0ajgqH2eZu9or,https://open.spotify.com/track/4cHzauvoF0ajgqH2eZu9or
Greyhound,Until Now,Swedish House Mafia,0VffaI2jwQknRrxpECYHsF,https://open.spotify.com/track/0VffaI2jwQknRrxpECYHsF
HUMANS - Far Out Remix,HUMANS (Far Out Remix),"KLOUD, Far Out",2HDE7gJUAf4FTH1ubzM042,https://open.spotify.com/track/2HDE7gJUAf4FTH1ubzM042
Hard To Say Goodbye (feat. Chloe Angelides) - Ship Wrek Remix,Hard To Say Goodbye (feat. Chloe Angelides) [Ship Wrek Remix],"Ekali, ILLENIUM, Chloe Angelides, Ship Wrek",5R0W21CFhLqVw3epCGrdSB,https://open.spotify.com/track/5R0W21CFhLqVw3epCGrdSB
Haytpo - Craspore Rmx,Shimmie Tapes,Пи4алька,1k9DvSD2Hq9Yh2FCXllJmr,https://open.spotify.com/track/1k9DvSD2Hq9Yh2FCXllJmr
Here With Me,Only In Dreams,"Delta Heavy, Modestep",3CGTE6jOIZUoEipPg1ZW5H,https://open.spotify.com/track/3CGTE6jOIZUoEipPg1ZW5H
Hometown,Joshua,French 79,47x1Gh7yk5mblUWxWRdtjH,https://open.spotify.com/track/47x1Gh7yk5mblUWxWRdtjH
Humanity,Humanity,Max Brhon,2oWT0CaXgzDkcpfjCtzIpf,https://open.spotify.com/track/2oWT0CaXgzDkcpfjCtzIpf
If You Want To - Remix,If You Want To (Dimension Remix),Dimension,6kLaJwG8unMHMv6JuxVbsE,https://open.spotify.com/track/6kLaJwG8unMHMv6JuxVbsE
Illusion,Illusion,Max Brhon,1aqJtes3BNLhU84SD80xBo,https://open.spotify.com/track/1aqJtes3BNLhU84SD80xBo
Incinerate,Incinerate,"Blanke, GG Magree",2rhNq59GNbMwivzgOXdus4,https://open.spotify.com/track/2rhNq59GNbMwivzgOXdus4
Interplanetary - Original Mix,Interplanetary,West Klintwood,2gGIKneJlUPPJEOjhufEb1,https://open.spotify.com/track/2gGIKneJlUPPJEOjhufEb1
Into Dust,Into Dust,"Paris Blohm, Elle Vee",52pjPdMzY3LgKmZtKrgDZB,https://open.spotify.com/track/52pjPdMzY3LgKmZtKrgDZB
Into The Abyss,Into The Abyss,"Zeds Dead, Rezz",0eq4dBI0Z0Jbvz4DxO7SuE,https://open.spotify.com/track/0eq4dBI0Z0Jbvz4DxO7SuE
Iris in the Dark,URCA,"Just A Gent, McCall",4BsN2VLlvd3BBJCt7gpwkc,https://open.spotify.com/track/4BsN2VLlvd3BBJCt7gpwkc
Keychain,Your Interpretation,C.H.A.Y.,14Wuh824P9NMGmLrSakCr7,https://open.spotify.com/track/14Wuh824P9NMGmLrSakCr7
Kill Me Slow - Extended,New Rave (Extended),"David Guetta, MORTEN",15Vg9eIXz28v1G552XUtnU,https://open.spotify.com/track/15Vg9eIXz28v1G552XUtnU
Known You Before (with Emilie Brandt),Known You Before (with Emilie Brandt),"Jason Ross, Seven Lions, Emilie Brandt",46EA3tB2G4GrOMhDie094Q,https://open.spotify.com/track/46EA3tB2G4GrOMhDie094Q
Little Space,Little Space,"Feed Me, YOSIE",3SEjLrlbMpMjQp8FJRQYP4,https://open.spotify.com/track/3SEjLrlbMpMjQp8FJRQYP4
Lose My Mind,Lose My Mind,Chris Lake,37KIu6bxGKeIOxomTXsEAF,https://open.spotify.com/track/37KIu6bxGKeIOxomTXsEAF
Lose My Mind (feat. Heather Janssen),Lose My Mind (feat. Heather Janssen),"ZABO, R7CKY, Heather Janssen",63wL7g741VEAwj4fwP9z5r,https://open.spotify.com/track/63wL7g741VEAwj4fwP9z5r
Losing You,Losing You,"Ephixa, Laura Brehm",0j7yF7CURZTm6rnJWOWIoV,https://open.spotify.com/track/0j7yF7CURZTm6rnJWOWIoV
Lotus,Lotus,Shadient,4mkDs7IRE2PAN4EV1V2RXf,https://open.spotify.com/track/4mkDs7IRE2PAN4EV1V2RXf
Loving Her Loving U,Loving Her Loving U,"Justin OH, Delaney Kai",07TESpY3bF8DC5FA5dye8G,https://open.spotify.com/track/07TESpY3bF8DC5FA5dye8G
Man's First Inhibition,Man’s First Inhibition,"NGHTMRE, ZHU, Kidd Keem",21UoRIOIjkWdHU8xbxQ0Z7,https://open.spotify.com/track/21UoRIOIjkWdHU8xbxQ0Z7
Mind,Mind,Maison Ware,5avcqrjVVBBAE9sELj9MBC,https://open.spotify.com/track/5avcqrjVVBBAE9sELj9MBC
Mind,Mind,"Dirty Audio, ZEKE BEATS",5i31OqjRaycRmz3NLrTCpt,https://open.spotify.com/track/5i31OqjRaycRmz3NLrTCpt
Momentary Lapse,Momentary Lapse,"The Glitch Mob, 1788-L",7mFBGqpnvIT9SyF1WCD9sm,https://open.spotify.com/track/7mFBGqpnvIT9SyF1WCD9sm
Monarch - Speed of Light,Notaker EP,Notaker,2z21iEgDXBV0mv00cOBlFI,https://open.spotify.com/track/2z21iEgDXBV0mv00cOBlFI
My Boy - Meduza Remix,My Boy (Meduza Remix),"R Plus, Dido, MEDUZA",6npSsIYSqN7ia7rdGme1Ic,https://open.spotify.com/track/6npSsIYSqN7ia7rdGme1Ic
My Life,My Life,"ZHU, Tame Impala",2NDZ6i6UfOUSKgFiTQKbnv,https://open.spotify.com/track/2NDZ6i6UfOUSKgFiTQKbnv
My World,My World,"Vini Vici, Shapov, NERVO",1Sb82Uw1FRIlMRIwZvv519,https://open.spotify.com/track/1Sb82Uw1FRIlMRIwZvv519
NEON,TURBO / NEON,Lektrique,5ucvtdom7nyJr59YdUI3dG,https://open.spotify.com/track/5ucvtdom7nyJr59YdUI3dG
Neo Soul,Neo Soul,"Cyazon, Essenger",40QhyjkUeBtIbBYO72GoqZ,https://open.spotify.com/track/40QhyjkUeBtIbBYO72GoqZ
Never Let You Go,Solé,SNBRN,523XDGMjH8Gbzc8V6ek5cl,https://open.spotify.com/track/523XDGMjH8Gbzc8V6ek5cl
Night Rider,Night Rider,"Abraxis, Crystal Skies, Dimibo",7HNwrtEdU98eLfeB7ei3mt,https://open.spotify.com/track/7HNwrtEdU98eLfeB7ei3mt
Ocean Eyes - Blackbear Remix,Ocean Eyes (The Remixes),"Billie Eilish, blackbear",4JuZQeSRYJfLCqBgBIxxrR,https://open.spotify.com/track/4JuZQeSRYJfLCqBgBIxxrR
"One Shot, One Kill","One Shot, One Kill",Varien,5Ea8NUqon37x0Vc82W5FwY,https://open.spotify.com/track/5Ea8NUqon37x0Vc82W5FwY
Physical,Physical,Dua Lipa,5px6upUHM3fhOP621Edp4V,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
Pressure,NOVA,RL Grime,11AZJufpf0EdlyGes9Jgrh,https://open.spotify.com/track/11AZJufpf0EdlyGes9Jgrh
Pure Sunlight,Pure Sunlight,"Laura Brehm, Mr FijiWiji, AgNO3",2ItQjU9tiT5lWQx1jxu76Q,https://open.spotify.com/track/2ItQjU9tiT5lWQx1jxu76Q
Raw,Fade,Sysdemes,5BU998DuQedNYDkaK92xAA,https://open.spotify.com/track/5BU998DuQedNYDkaK92xAA
Remember,Find Another Way,"Seven Lions, Au5, Crystal Skies",3wHlymygKgxwfwKQ8LCaVr,https://open.spotify.com/track/3wHlymygKgxwfwKQ8LCaVr
Revelation,Revelation,"Trivecta, Varien",2V6SkFFgyCskpBzowwKLEC,https://open.spotify.com/track/2V6SkFFgyCskpBzowwKLEC
Ripped To Pieces - VIP,Ripped To Pieces (VIP),"Stonebank, EMEL",2OY6AOULfnbU0ul53RCINF,https://open.spotify.com/track/2OY6AOULfnbU0ul53RCINF
Room,Droid Bass Vol. 2,"AXEN, HYLO, Karra",4C41fqVKtJX3DHR4ntbXTX,https://open.spotify.com/track/4C41fqVKtJX3DHR4ntbXTX
Salvation,Salvation,"Kill The Noise, Mija",30NSoMPczRqrQJjq8NkPCx,https://open.spotify.com/track/30NSoMPczRqrQJjq8NkPCx
Save My Grave,We Are Deadbeats (Vol. 4),"Zeds Dead, DNMO, GG Magree",3SmytDq4CeZ3nKE9777qEx,https://open.spotify.com/track/3SmytDq4CeZ3nKE9777qEx
Save The World - Knife Party Remix,Save The World (The Remixes),"Swedish House Mafia, Knife Party",0wm3QDJX7EedYpc6B9kHGG,https://open.spotify.com/track/0wm3QDJX7EedYpc6B9kHGG
Shadow,Shadow,Blanke,3hjaGGRFXx9ahoHjwfykUi,https://open.spotify.com/track/3hjaGGRFXx9ahoHjwfykUi
She's Got a Gun,She's Got a Gun,"KUURO, McCall",1OI3iRcPSjHdS6ERJHzBGB,https://open.spotify.com/track/1OI3iRcPSjHdS6ERJHzBGB
Someone Else,Someone Else,"Rezz, Grabbitz",4hR3hQKELrARHNZJ51D14s,https://open.spotify.com/track/4hR3hQKELrARHNZJ51D14s
Still Healing,Bad Habits,EDDIE,1TBYoKmgLjB9UkjNPQLMza,https://open.spotify.com/track/1TBYoKmgLjB9UkjNPQLMza
Strangers,Secret Level,"No Mana, Jantine",2ndTv8R5uRrygmtDVuAejj,https://open.spotify.com/track/2ndTv8R5uRrygmtDVuAejj
Stress,Beyond the Senses,"Rezz, EDDIE",5WykJXLt6kErpSL8uKutpl,https://open.spotify.com/track/5WykJXLt6kErpSL8uKutpl
Sun & Moon - Original Mix,Group Therapy,"Above & Beyond, Richard Bedford",4rfhAoZjGwraqwX1w47uij,https://open.spotify.com/track/4rfhAoZjGwraqwX1w47uij
Sunrise (Won't Get Lost) - ShockOne Remix,Sunrise (Won't Get Lost) [Remixes],"The Aston Shuffle, Tommy Trash, ShockOne",74KEDAaXFF1ym1MbkfQ0uu,https://open.spotify.com/track/74KEDAaXFF1ym1MbkfQ0uu
The Future,The Future,Max Brhon,7MFUcdca0pbyMQGW9TBrGw,https://open.spotify.com/track/7MFUcdca0pbyMQGW9TBrGw
The One - Unlovable Remix,The One,"Habstrakt, Unlovable",6g5mOmAf9UNmM0ejKoq6ZK,https://open.spotify.com/track/6g5mOmAf9UNmM0ejKoq6ZK
The Raver,UKF Dubstep 2012,Ayah Marar,15JxeF7a6EZaYh9xg2gBlO,https://open.spotify.com/track/15JxeF7a6EZaYh9xg2gBlO
Tokyo,Tokyo,"3LAU, XIRA",1QCVN7PEJ0dMiIDOG6ZJUf,https://open.spotify.com/track/1QCVN7PEJ0dMiIDOG6ZJUf
Touch - Zeds Dead Remix,Ultraviolet (Remixed),"3LAU, Carly Paige, Zeds Dead",5xFyDoUkX82ZZoYrBgy3Bi,https://open.spotify.com/track/5xFyDoUkX82ZZoYrBgy3Bi
Twilight vs Breathe,Twilight vs Breathe,"Adam K, Soha, HALIENE, Matthew Steeper",61eIyD71bF3oluce7OwMK8,https://open.spotify.com/track/61eIyD71bF3oluce7OwMK8
Unison,Spitfire EP,Porter Robinson,75T1xBaarYAqYdNtFZxUaZ,https://open.spotify.com/track/75T1xBaarYAqYdNtFZxUaZ
Universe,UKF Dubstep 2012,"Xilent, Shaz Sparks",4DqvFOvWWRCqCwyNqvHuAv,https://open.spotify.com/track/4DqvFOvWWRCqCwyNqvHuAv
Untitled Forever,Untitled Forever,"No Mana, EDDIE",0w48e5wGqGsZn2oF46MzMi,https://open.spotify.com/track/0w48e5wGqGsZn2oF46MzMi
Voices,Voices,Maison Ware,1tzvepqCMGQQcxtIDCAP18,https://open.spotify.com/track/1tzvepqCMGQQcxtIDCAP18
Warning Signs,Warning Signs,"Hex Cougar, KUURO",16ZjWGIWEsSzCkV7LiEMVk,https://open.spotify.com/track/16ZjWGIWEsSzCkV7LiEMVk
We Could Be Heaven (feat. Crywolf),Grid Living,Sldghmr,3nMgX7es4fyIWi4D3GiMH3,https://open.spotify.com/track/3nMgX7es4fyIWi4D3GiMH3
With You - Prismo Remix,With You (Prismo Remix),"Haywyre, Prismo",3fLYEqfVmeMdAfVQUMvoNa,https://open.spotify.com/track/3fLYEqfVmeMdAfVQUMvoNa
You Know You Like It,You Know You Like It,"DJ Snake, AlunaGeorge",57kR5SniQIbsbVoIjjOUDa,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa
Your Interpretation,Your Interpretation,C.H.A.Y.,3V6g6VtvH35OL6yzvTLEoe,https://open.spotify.com/track/3V6g6VtvH35OL6yzvTLEoe
hot girl bummer,hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
