# dank, By Drew Achtermann, https://open.spotify.com/playlist/55o6rQHtbqrxmiF3zuK2eu
title,album,artist,id,url
Too Late - Matt Lange Remix,Too Late (Matt Lange Remix),Mat Zo,45jpW4xaKt85uDw0tmiFKn,https://open.spotify.com/track/45jpW4xaKt85uDw0tmiFKn
Addicted To A Memory,True Colors,"Zedd, Bahari",0xTGfdrWzJLKRD4U6hxSsg,https://open.spotify.com/track/0xTGfdrWzJLKRD4U6hxSsg
Amaria,Battlecry,"Two Steps from Hell, Thomas Bergersen",6TabSNWjEENMHEDhyY3BG9,https://open.spotify.com/track/6TabSNWjEENMHEDhyY3BG9
Anchor,Metamorphic III,Tritonal,69mlHIPayAZVzC32RaVty5,https://open.spotify.com/track/69mlHIPayAZVzC32RaVty5
CVNT5,100 Reasons To Live,"Gareth Emery, CVNT5, Ashley Wallbridge",0ydn94XuC3iayjMrhVVMGf,https://open.spotify.com/track/0ydn94XuC3iayjMrhVVMGf
Colors,Colors,"Boombox Cartel, Grabbitz",400qVixdAaGueKeqm7zGcJ,https://open.spotify.com/track/400qVixdAaGueKeqm7zGcJ
Dark Star (Milkman Remix),Dark Star (Milkman Remix),"Milkman, Jaymes Young",5hc56hz8l6W1u4acuXIiNY,https://open.spotify.com/track/5hc56hz8l6W1u4acuXIiNY
Disarm You (feat. Ilsey),Automatic,"Kaskade, Ilsey",3xQjivjUZ4KnUslduTEYKC,https://open.spotify.com/track/3xQjivjUZ4KnUslduTEYKC
Dive - Rob & Jack Remix,Dive (Remixes),"Salvatore Ganacci, Enya, Alex Aris, Rob & Jack",5N4XTVuYThjvbEGEfVwX6s,https://open.spotify.com/track/5N4XTVuYThjvbEGEfVwX6s
Dreams,Dreams,Beck,4mqVUkv3epcKid8O9tlgtl,https://open.spotify.com/track/4mqVUkv3epcKid8O9tlgtl
Drive It Like You Stole It - Mirko Kosmos Remix,Drink the Sea (Remixes Vol. 2),"The Glitch Mob, Mirko-Kosmos",1NL8bSqaFLTv4nhoYsoeWw,https://open.spotify.com/track/1NL8bSqaFLTv4nhoYsoeWw
Faded,Faded,Alan Walker,1brwdYwjltrJo7WHpIvbYt,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
Faded - Slushii Remix,Faded (Remixes II),"Alan Walker, Slushii",1JcC5Zu7vrdMGDjJkw6Z3Q,https://open.spotify.com/track/1JcC5Zu7vrdMGDjJkw6Z3Q
Funeral March - Original Mix,Funeral March,Black Tiger Sex Machine,5RTrBe1HfkQD3CtLJ8a2y7,https://open.spotify.com/track/5RTrBe1HfkQD3CtLJ8a2y7
Getaway,Painting With Dreams,"Tritonal, Angel Taylor",0aAVBcORefVNADGxgqh8XM,https://open.spotify.com/track/0aAVBcORefVNADGxgqh8XM
Gold (feat. Yuna),Calling All Heroes - EP,"Adventure Club, Yuna",2KlZexJjJPuNWcN5uAG1GU,https://open.spotify.com/track/2KlZexJjJPuNWcN5uAG1GU
Heathens,Heathens,Twenty One Pilots,6i0V12jOa3mr6uu4WYhUBr,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
How Many,How Many,W&W,64BbRFQBFPpSKhmCZ5w7K1,https://open.spotify.com/track/64BbRFQBFPpSKhmCZ5w7K1
How You Love Me,How You Love Me,"3LAU, Bright Lights",1nas007nDbzLwDGwvMdz79,https://open.spotify.com/track/1nas007nDbzLwDGwvMdz79
I Remember You - Minero Remix,I Remember You (Electro Remixes),"Danilo Garcia, Laura Brehm, Minero",5hADaGvNHDkRruR4Vq0XoH,https://open.spotify.com/track/5hADaGvNHDkRruR4Vq0XoH
Lights,Until Now,"Steve Angello, Third Party",3F1OFAb6AKuyvERl4VAJzq,https://open.spotify.com/track/3F1OFAb6AKuyvERl4VAJzq
Monster (Rework),Monster (Rework),DotEXE,4LfryUF6KUoJNPoOhSsV7z,https://open.spotify.com/track/4LfryUF6KUoJNPoOhSsV7z
Morphine,Morphine,"Thomas Gold, Lush & Simon",7aUQKqlFwXVxWgEiIfargD,https://open.spotify.com/track/7aUQKqlFwXVxWgEiIfargD
