# golden years, By dunce, https://open.spotify.com/playlist/7HOr7D5LNV3slyYSxlSoOO
title,album,artist,id,url
Freefall - xKore Remix,"Freefall (feat. Reija Lee, xKore)","Metrik, Reija Lee",1cRWVPOowwi0ibYtLAmngE,https://open.spotify.com/track/1cRWVPOowwi0ibYtLAmngE
Me and Myself (Wolfgang Gartner Radio Edit),Nervous Rewind 2008,Bendj Feat Sushy,21fPlFtUrk3RM1ePhFlKeV,https://open.spotify.com/track/21fPlFtUrk3RM1ePhFlKeV
Crush - Bar9 Remix,Crush,"M'Black, Bar9",2yMYEUc4qydmbdNdfnjXjv,https://open.spotify.com/track/2yMYEUc4qydmbdNdfnjXjv
Finally - Radio Edit,Finally (Radio Edit),"Amba Shepherd, Mikkas",1rXqVDHyoOAMR8AKDNyIb6,https://open.spotify.com/track/1rXqVDHyoOAMR8AKDNyIb6
Another Day - xKore Remix,Evolution Theory (Deluxe Edition),"Modestep, Popeska, xKore",4yTPADumFOQPhA0x8tN26W,https://open.spotify.com/track/4yTPADumFOQPhA0x8tN26W
Heads Will Roll - A-Trak Remix,Heads Will Roll,"Yeah Yeah Yeahs, A-Trak",2idmlkd8oUaQvYEtINpLBX,https://open.spotify.com/track/2idmlkd8oUaQvYEtINpLBX
Experts,UKF Dubstep 2012,Skism,1yJZ5yEKFAqxNVYDx7a5Se,https://open.spotify.com/track/1yJZ5yEKFAqxNVYDx7a5Se
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,I Could Be The One [Avicii vs Nicky Romero],"Avicii, Nicky Romero",591nHHHzZl1NLt9PMKpinM,https://open.spotify.com/track/591nHHHzZl1NLt9PMKpinM
Send Me Your Love - KDrew Remix,Send Me Your Love (KDrew Remix) - Single,Taryn Manning,5pYngSQa1LIT2WZ14sTKKD,https://open.spotify.com/track/5pYngSQa1LIT2WZ14sTKKD
Just A Thought,UKF Drum & Bass 2012,"Fred V & Grafix feat. Reija Lee, Fred V, Grafix, Reija Lee",77FzokXK5WOYoYVZqlILOl,https://open.spotify.com/track/77FzokXK5WOYoYVZqlILOl
Raindrops - Tomba Remix,Raindrops,"Fytch, Captain Crunch, Carmen Forbes",70IqR77XbNv3BvmX43F2mV,https://open.spotify.com/track/70IqR77XbNv3BvmX43F2mV
Diamond Sky (feat. Laura Brehm),Spotlight Compilation Vol. 1,"Elliot Berger, Laura Brehm",3KF2pNwiGYWHX0ce17mnHA,https://open.spotify.com/track/3KF2pNwiGYWHX0ce17mnHA
Lights - Single Version,Lights,Ellie Goulding,7gUpO6td4OOnu0Lf9vhcIV,https://open.spotify.com/track/7gUpO6td4OOnu0Lf9vhcIV
Figure 8,Halcyon,Ellie Goulding,65LYxR6Id1nc8nGSOEnunI,https://open.spotify.com/track/65LYxR6Id1nc8nGSOEnunI
The Home We Made Pt. II,Ghosts EP,Crywolf,58nCzdTnMcUxHz326Y3Ttf,https://open.spotify.com/track/58nCzdTnMcUxHz326Y3Ttf
So Bad (Savoy & Heather Bright),Supertrail,Savoy,16E1xND1O6UfQ5eHZBOU6W,https://open.spotify.com/track/16E1xND1O6UfQ5eHZBOU6W
Rise & Fall (Krewella Remix) (feat. Krewella),Rise & Fall (Krewella Remix) (feat. Krewella),Adventure Club,0g6s1NJOe3Z1ADDPTVhaax,https://open.spotify.com/track/0g6s1NJOe3Z1ADDPTVhaax
Still With Me,UKF Dubstep 2012,"Tritonal, Cristina Soto",69RIBIYMWbwLT6VbfPqcVP,https://open.spotify.com/track/69RIBIYMWbwLT6VbfPqcVP
The Great Divide - Seven Lions Remix,The Great Divide (The Remixes),Velvetine,2A7Y6Q3EkKEz9Eq8ccMMPy,https://open.spotify.com/track/2A7Y6Q3EkKEz9Eq8ccMMPy
Rise & Fall (feat. Krewella),Rise & Fall (feat. Krewella),Adventure Club,5yQmKyKEdjtxFDPIK9mFLn,https://open.spotify.com/track/5yQmKyKEdjtxFDPIK9mFLn
Must Be The Feeling - Flux Pavilion & Nero Remix,Must Be The Feeling,"NERO, Flux Pavilion",3BVAGwQGSiWXpIWx8QbMvP,https://open.spotify.com/track/3BVAGwQGSiWXpIWx8QbMvP
Light It Up (feat. Heather Bright),Light It Up EP,"Flinch feat. Heather Bright, Flinch, Heather Bright",2q5KHbTu5NdI2zAaRJQI4a,https://open.spotify.com/track/2q5KHbTu5NdI2zAaRJQI4a
Burn,Burn,Ellie Goulding,1BwKzqcVueHMjW9e9EUVKx,https://open.spotify.com/track/1BwKzqcVueHMjW9e9EUVKx
Stay The Night - featuring Hayley Williams of Paramore,Stay The Night,"Zedd, Hayley Williams",3xozZw4YNCv777ONrbdHsy,https://open.spotify.com/track/3xozZw4YNCv777ONrbdHsy
Come Back Down,Cannibals EP: Part 1,Mediks,3gP7pueNFap9W4cA21N3hH,https://open.spotify.com/track/3gP7pueNFap9W4cA21N3hH
