title,album,artist,id,url
Dwidala - Mat Zo Remix,Bleach Remixes,"Rohaan, yunis, Mat Zo",4SyExvx0ocPOSCdZUSSD2e,https://open.spotify.com/track/4SyExvx0ocPOSCdZUSSD2e
Clear - Jauz Remix,Clear Jauz Remix,"Heyz, Jauz, TIAAN",6ny0X3Z12pCWohKFqiitdm,https://open.spotify.com/track/6ny0X3Z12pCWohKFqiitdm
Black Rainbow,Black Rainbow,Abraxis,6jg11j7uT7Q6NQvkTbNHPT,https://open.spotify.com/track/6jg11j7uT7Q6NQvkTbNHPT
Alive,Alive,"James Egbert, No Mana",1KFg8hwfIvybPhYUGAtN2A,https://open.spotify.com/track/1KFg8hwfIvybPhYUGAtN2A
Work It,Work It,Delta Heavy,3k2FxhfLtS42E5WmPgBHru,https://open.spotify.com/track/3k2FxhfLtS42E5WmPgBHru
Media Encoder,Media Encoder,"Foxhunt, Moki",5GFGSrEb3bAnV4evGFm0tK,https://open.spotify.com/track/5GFGSrEb3bAnV4evGFm0tK
My Company,My Company,Will Sparks,1tGOp6X4bMoQFoxKYlMZyG,https://open.spotify.com/track/1tGOp6X4bMoQFoxKYlMZyG
The Change (feat. DMA’S) - Ekko & Sidetrack Remix,The Change (feat. DMA’S) (Ekko & Sidetrack Remix),"What So Not, DMA'S, Ekko & Sidetrack",6Gr6MWvZ5pFQ42J8OQWmHf,https://open.spotify.com/track/6Gr6MWvZ5pFQ42J8OQWmHf
Jericho,Jericho,"Jacknife, The Bloody Beetroots",2qCHdgKYczww7OajnuU2Tc,https://open.spotify.com/track/2qCHdgKYczww7OajnuU2Tc
Lights Out,Lights Out,BLVD.,3KcPh8zQrm5YC9gqBEDfOu,https://open.spotify.com/track/3KcPh8zQrm5YC9gqBEDfOu
