title,album,artist,id,url
"era, ov",Inertia,Sysdemes,1h9g1uGFUvQZeFrZir1mAz,https://open.spotify.com/track/1h9g1uGFUvQZeFrZir1mAz
Losing It,Fountain EP,Sunny Lax,7jzcImgU2sCS2TuVyKvhCX,https://open.spotify.com/track/7jzcImgU2sCS2TuVyKvhCX
Private Show - Extended Mix,Gok Wan Presents Isolation Nation,OFFAIAH,2EY0mkKbey7JujO3qxAYyM,https://open.spotify.com/track/2EY0mkKbey7JujO3qxAYyM
Buggin' - Edit,8-track,"Hot Since 82, Jem Cooke",2TqSk3lGTFTO2N6qDWpODA,https://open.spotify.com/track/2TqSk3lGTFTO2N6qDWpODA
Only The Gods (feat. Anabel Englund),Only the Gods / Better on My Own (feat. Anabel Englund),"Disciples, Lee Foss, Anabel Englund",6oSWam6C5d0HyUS4bVNVqN,https://open.spotify.com/track/6oSWam6C5d0HyUS4bVNVqN
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,https://open.spotify.com/track/1SSAvErVyid5OXzmtGZKkg
Over,Left Behind,So Below,2RD30Lh2VzqjcGjRjH1HlD,https://open.spotify.com/track/2RD30Lh2VzqjcGjRjH1HlD
Shamrat,Shamrat EP,"Mark Knight, Adrian Hour",4eF2g9nh6lvp3pDC5GvxPj,https://open.spotify.com/track/4eF2g9nh6lvp3pDC5GvxPj
Resonate,Vessel,OVERWERK,0fzQkYE7kMYaec0BK2Nh8q,https://open.spotify.com/track/0fzQkYE7kMYaec0BK2Nh8q
River - Jack Burton Remix,River (Jack Burton Remix),"PNAU, Ladyhawke, Jack Burton",2YL9X5n0Y25uTKOnHxwmOB,https://open.spotify.com/track/2YL9X5n0Y25uTKOnHxwmOB
Emptiness,Emptiness,"One True God, Roniit",4TPzn1tHoa186Nu2wb68r0,https://open.spotify.com/track/4TPzn1tHoa186Nu2wb68r0
How Long v3,How Long v3,"Kaskade, Late Night Alumni",49Uhm2WdbqxhiKsx14sXEQ,https://open.spotify.com/track/49Uhm2WdbqxhiKsx14sXEQ
Amani,Anjunabeats Rising 12,Dimibo,4oUboDLzHirBl6MKUnvAjR,https://open.spotify.com/track/4oUboDLzHirBl6MKUnvAjR
Young Ones - KAAZE Mix,Hardwell's Revealed Radio - Week 50,"BLK RSE, KAAZE, Elle Vee",7otrBExpBb4riOKhNi8h9i,https://open.spotify.com/track/7otrBExpBb4riOKhNi8h9i
Shoyu,"We Are Friends, Vol. 9",Speaker Honey,1klF0nbl8zZPK822jNmLTB,https://open.spotify.com/track/1klF0nbl8zZPK822jNmLTB
Are We Dreaming,Are We Dreaming / Higher,Alex Sonata & TheRio,3JBGLVE1vfuJf3ez0rOY2H,https://open.spotify.com/track/3JBGLVE1vfuJf3ez0rOY2H
Pain (feat. josh pan),Pain (feat. josh pan),"SLUMBERJACK, TWERL, josh pan",63JS1ueR1NskVHtc8afXA4,https://open.spotify.com/track/63JS1ueR1NskVHtc8afXA4
Galaxy Supreme,Galaxy Supreme / Surface,Estiva,3mHWiK7F1DNH9LjC8QNw2r,https://open.spotify.com/track/3mHWiK7F1DNH9LjC8QNw2r
Afterglow - CYA Remix,Afterglow (The Remixes),"Grum, Natalie Shay, CYA",06GETobdVrLdRpzoc2AnKW,https://open.spotify.com/track/06GETobdVrLdRpzoc2AnKW
Shaded,"We Are Friends, Vol. 8","Dead Space, C.H.A.Y.",3NhrGeyv8p4rvRPRIxEoft,https://open.spotify.com/track/3NhrGeyv8p4rvRPRIxEoft
