title,album,artist,id,url
Th3 Awak3n1ng,Fiery the Angels Rose,Really Slow Motion,7ege3Gn7rFPmMoinSteN9t,https://open.spotify.com/track/7ege3Gn7rFPmMoinSteN9t
SouthSide,SouthSide,"DJ Snake, Eptic",60AUuYrFbCBnPvDfofMfVF,https://open.spotify.com/track/60AUuYrFbCBnPvDfofMfVF
Dem Fraid,Cartel,"Boombox Cartel, Taranchyla",3Ui9jL2IyUyu2EzffYmqPp,https://open.spotify.com/track/3Ui9jL2IyUyu2EzffYmqPp
MDR,MDR,"Party Favor, Baauer",7CQh5cvBqMxlKIghGvO6s1,https://open.spotify.com/track/7CQh5cvBqMxlKIghGvO6s1
Ghost Lite,wave 002,foxwedding,55m8EdLatRDNIsR9qE1AhN,https://open.spotify.com/track/55m8EdLatRDNIsR9qE1AhN
Motley Crew - AWAY Remix,Motley Crew (AWAY Remix),"THEY., AWAY",0K9qnumSdUbXsltVzcHU2e,https://open.spotify.com/track/0K9qnumSdUbXsltVzcHU2e
Super Gt,Super Gt,Juche,4BrOjd6eC8AgJB9uBSoqXg,https://open.spotify.com/track/4BrOjd6eC8AgJB9uBSoqXg
NOVA,NOVA,"WHITE KATANA, COSMIC",6wGma2N3AP4IRxBaRxz2jX,https://open.spotify.com/track/6wGma2N3AP4IRxBaRxz2jX
Back Up,The Infamous,Cesqeaux,1uLTRRtTBYhHQzxVKZ0EGo,https://open.spotify.com/track/1uLTRRtTBYhHQzxVKZ0EGo
WHEN I WAS OLDER - Music Inspired By The Film ROMA,WHEN I WAS OLDER (Music Inspired By The Film ROMA),Billie Eilish,7tGEAA1f8MydT7eVbbO9Zy,https://open.spotify.com/track/7tGEAA1f8MydT7eVbbO9Zy
lift me from the ground - Manila Killa Remix,album1: a lot of remixes,"San Holo, Sofie Winterson, Manila Killa",0YBsKnoQqaySSh5tOuNjM0,https://open.spotify.com/track/0YBsKnoQqaySSh5tOuNjM0
Elysium,Hell Is Other People,"Eekkoo, Sailor & I",1YhlSfS3CrayaPVbwM9wLP,https://open.spotify.com/track/1YhlSfS3CrayaPVbwM9wLP
Mula,Mula,Eliminate,08EDz6781IVLc3qMn3VneT,https://open.spotify.com/track/08EDz6781IVLc3qMn3VneT
Razorfish - Above & Beyond's Progressive Mix,Anjunabeats Volume 1,"Above & Beyond, Tranquility Base",66n60wa0hTY4aQk5nL1DYY,https://open.spotify.com/track/66n60wa0hTY4aQk5nL1DYY
Need U,Need U,Henry Dark,3hULm888JI1MYxZFMRF4Rd,https://open.spotify.com/track/3hULm888JI1MYxZFMRF4Rd
Black Hole - Martin Roth Remix,Black Hole (The Remixes),"Ben Böhmer, Monolink, Martin Roth",1fpLvkRD9tPR5YDnxEoBgl,https://open.spotify.com/track/1fpLvkRD9tPR5YDnxEoBgl
Flying By Candlelight - Acoustic,Flying By Candlelight (Acoustic),"Above & Beyond, Marty Longstaff",1BAWilkywmKUNxoDQApP5t,https://open.spotify.com/track/1BAWilkywmKUNxoDQApP5t
FACES,FACES,"MineSweepa, Tasha Baxter",7tUaNaLL6Ao6dHsEIBCjhj,https://open.spotify.com/track/7tUaNaLL6Ao6dHsEIBCjhj
The Takedown,The Takedown,Julian Jordan,0tDD9whda3IAvxZiqjYA9b,https://open.spotify.com/track/0tDD9whda3IAvxZiqjYA9b
Food For Ya Soul,Infidel,Re5a,4d5cbRCN19Yi3sAfKYwCH9,https://open.spotify.com/track/4d5cbRCN19Yi3sAfKYwCH9
Hello World - Original Mix,Etude,Nhato,2nATYiEPAsPTh9mlPgcBct,https://open.spotify.com/track/2nATYiEPAsPTh9mlPgcBct
Ego,Ego,VVN,26lPxkzep51cJeA7O0BQT1,https://open.spotify.com/track/26lPxkzep51cJeA7O0BQT1
Bring out the Devil,"Locked and Loaded, Pt. 2",SOFI,6q4KtEZc008YjP9omSpL9M,https://open.spotify.com/track/6q4KtEZc008YjP9omSpL9M
Slot Machine (feat. Prinze George),Slot Machine (feat. Prinze George),"Carnage, Prinze George",1OUibqAMTVgzvM4xyoEbYW,https://open.spotify.com/track/1OUibqAMTVgzvM4xyoEbYW
Part I - Kraysh Remix,"Kill The Noise and Mat Zo Present: Kill The Zo, Pt. I","Kill The Noise, Mat Zo, Kraysh",6Kb486bNZepAJHktF8Kb9E,https://open.spotify.com/track/6Kb486bNZepAJHktF8Kb9E
Kaleido - Vocal Mix,Kaleido (Vocal Mix),"Jaiden Stylez, Mylky",0u1fuSXThcbRFraUMjCcPp,https://open.spotify.com/track/0u1fuSXThcbRFraUMjCcPp
