title,album,artist,id,url
V,Cyberpunk 2077 - Original Score,Marcin Przybyłowicz,2u1FWVxAb16qbgwPgygAdj,https://open.spotify.com/track/2u1FWVxAb16qbgwPgygAdj
The Heist,Cyberpunk 2077 - Original Score,P.T. Adamczyk,3aLlzgIl2B6j2CFII34tXL,https://open.spotify.com/track/3aLlzgIl2B6j2CFII34tXL
Cyberninja,Cyberpunk 2077 - Original Score,Marcin Przybyłowicz,7dvgLIZ37U7VkfpWRce4PZ,https://open.spotify.com/track/7dvgLIZ37U7VkfpWRce4PZ
Night City,"Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)","R E L, Artemis Delta",4dK0YKNUAMEV58MZxqN359,https://open.spotify.com/track/4dK0YKNUAMEV58MZxqN359
Run,"Cyberpunk 2077: Radio, Vol. 3 (Original Soundtrack)","Steven Richard Davis, Kings of Collapse",08x2KGwbeDBroANNjqPflE,https://open.spotify.com/track/08x2KGwbeDBroANNjqPflE
Black Terminal (Upgrade),Cyberpunk 2077: More Music from Night City Radio (Original Soundtrack),"Blue Stahli, Danny Cocke, Inversion",0WgPgM5hEWowvqvLccF1uw,https://open.spotify.com/track/0WgPgM5hEWowvqvLccF1uw
Dirty Roses,Cyberpunk 2077: More Music from Night City Radio (Original Soundtrack),"OnenO, Perilous Futur",2Atzz5QLJNMgiR8FofNNYT,https://open.spotify.com/track/2Atzz5QLJNMgiR8FofNNYT
Blind,Cyberpunk 2077: More Music from Night City Radio (Original Soundtrack),"Raney Shockne, American Medical Association",1KOggyZ4daTP4JVnSbdd1D,https://open.spotify.com/track/1KOggyZ4daTP4JVnSbdd1D
Paris 2080,Paris 2080,Den Solo,29jOqKaB0MsYqRvUdoeHkr,https://open.spotify.com/track/29jOqKaB0MsYqRvUdoeHkr
Scavenger Hunt,Cyberpunk 2077 - Original Score,P.T. Adamczyk,2wFCZCwlkjAh6Y8wM0n65U,https://open.spotify.com/track/2wFCZCwlkjAh6Y8wM0n65U
