title,album,artist,id,url
Drown,Drown,ZABO,4RBQt9IvE0Qmzdt6XlzNpd,https://open.spotify.com/track/4RBQt9IvE0Qmzdt6XlzNpd
Crusade,Crusade,ZABO,1NOeACDMhmGSfXgAm8v2Jd,https://open.spotify.com/track/1NOeACDMhmGSfXgAm8v2Jd
Freaky,Freaky,ZABO,5ruq295vPAMh8TRmy7H5UW,https://open.spotify.com/track/5ruq295vPAMh8TRmy7H5UW
Breathe,Breathe,ZABO,1ME8Thb5mDmBYTI3I5f3uJ,https://open.spotify.com/track/1ME8Thb5mDmBYTI3I5f3uJ
Ultima,Ultima,"ZABO, Social Kid",07OkFwUb3oCMV85SBmPF07,https://open.spotify.com/track/07OkFwUb3oCMV85SBmPF07
R U Afraid,Revelations,HVDES,6x2497wWaSlpPeLYzTuPuP,https://open.spotify.com/track/6x2497wWaSlpPeLYzTuPuP
Apocalypse,Apocalypse,ZABO,1ktQTPSwbpjPSD5cq0BufN,https://open.spotify.com/track/1ktQTPSwbpjPSD5cq0BufN
Low,Low,ZABO,67TS0XzhK4CKoYX9Bm44t9,https://open.spotify.com/track/67TS0XzhK4CKoYX9Bm44t9
Paranoia,Paranoia,"ZABO, I am Sid",5W9z5Dayw6ZexyixAaAmUL,https://open.spotify.com/track/5W9z5Dayw6ZexyixAaAmUL
Momentary Lapse,Momentary Lapse,"The Glitch Mob, 1788-L",7mFBGqpnvIT9SyF1WCD9sm,https://open.spotify.com/track/7mFBGqpnvIT9SyF1WCD9sm
Aftermath,Aftermath,"Pax Impera, ZABO",5EBKqeB97fZw8LpDXkJLWO,https://open.spotify.com/track/5EBKqeB97fZw8LpDXkJLWO
Monster,Monster,ZABO,1w0vS9nYChtOtTu56kkGX4,https://open.spotify.com/track/1w0vS9nYChtOtTu56kkGX4
