# untitled4, By Drew Achtermann, https://open.spotify.com/playlist/0lbCZqZfNINlgGuShJA7H8
title,album,artist,id,url
Danger,Danger,Ship Wrek,1vMO4e1bvGf1DmAHNEHdfd,https://open.spotify.com/track/1vMO4e1bvGf1DmAHNEHdfd
The Pharaoh,Billy Kenny & Friends 1,"Billy Kenny, GotSome",6Tz6Gz67uW19BF4MepcvHL,https://open.spotify.com/track/6Tz6Gz67uW19BF4MepcvHL
Mirror Mirror,Mirror Mirror,Ship Wrek,4v7iD5hHhy5CQshGKmleGw,https://open.spotify.com/track/4v7iD5hHhy5CQshGKmleGw
Fire & Gold - Ship Wrek Remix,Fire & Gold (Ship Wrek Remix),"Morgan Page, VIVID, Allé, Damon Sharpe, Ship Wrek",4YF46DKkl9RWZdK4JKsMan,https://open.spotify.com/track/4YF46DKkl9RWZdK4JKsMan
Jolean,Jolean,"Get Real, Claude VonStroke, Green Velvet",2ng0DafMn7xw3JnzF1Zzmi,https://open.spotify.com/track/2ng0DafMn7xw3JnzF1Zzmi
WET,WET,Wax Motif,7MysdJNLp89Xl3zoSd5bC5,https://open.spotify.com/track/7MysdJNLp89Xl3zoSd5bC5
Take It,Take It,Dom Dolla,14fIlfcmFPlj4V2IazeJ25,https://open.spotify.com/track/14fIlfcmFPlj4V2IazeJ25
Lose My Mind,Lose My Mind,Chris Lake,37KIu6bxGKeIOxomTXsEAF,https://open.spotify.com/track/37KIu6bxGKeIOxomTXsEAF
Hard To Say Goodbye (feat. Chloe Angelides) - Ship Wrek Remix,Hard To Say Goodbye (feat. Chloe Angelides) [Ship Wrek Remix],"Ekali, ILLENIUM, Chloe Angelides, Ship Wrek",5R0W21CFhLqVw3epCGrdSB,https://open.spotify.com/track/5R0W21CFhLqVw3epCGrdSB
Dance With Me,Jauz Presents: This Is Off The Deep End,Ship Wrek,0k3znFeDe0kIfa40fEjG5E,https://open.spotify.com/track/0k3znFeDe0kIfa40fEjG5E
Stuck In Your Head,Stuck In Your Head,Tony Romera,50OxmO4BcGC5uBob0QyV8e,https://open.spotify.com/track/50OxmO4BcGC5uBob0QyV8e
Notorious,Notorious,Malaa,74cvkvTVxAXCew97vBnYiy,https://open.spotify.com/track/74cvkvTVxAXCew97vBnYiy
I Want You,I Want You,Chris Lake,7IM73yy9leN8ftZsOVmVTO,https://open.spotify.com/track/7IM73yy9leN8ftZsOVmVTO
Crowd Control,Crowd Control,FISHER,7ruylcpwEbeCl3HfB9SSyM,https://open.spotify.com/track/7ruylcpwEbeCl3HfB9SSyM
Losing It,Losing It,FISHER,6ho0GyrWZN3mhi9zVRW7xi,https://open.spotify.com/track/6ho0GyrWZN3mhi9zVRW7xi
Spaceman - House Divided Remix,Spaceman,"Botnek, House Divided",2HB9GQlSbMIcsm1Y2LWDQB,https://open.spotify.com/track/2HB9GQlSbMIcsm1Y2LWDQB
