title,album,artist,id,url
Hooked on You,Take It While It's Hot,Sweet Sensation,10YVwkKPhlLgivLOM54IyH,https://open.spotify.com/track/10YVwkKPhlLgivLOM54IyH
Boogie Wonderland,"The Essential Earth, Wind & Fire 3.0","Earth, Wind & Fire, The Emotions",2rcmr9KH9yEvdKJVhXmLwG,https://open.spotify.com/track/2rcmr9KH9yEvdKJVhXmLwG
Sincerely Yours,Take It While It's Hot,Sweet Sensation,72N8UFLVeuVHzfBnKkVpL6,https://open.spotify.com/track/72N8UFLVeuVHzfBnKkVpL6
Never Let You Go,Take It While It's Hot,Sweet Sensation,01qoKBIhSo3AlowvoiKPqH,https://open.spotify.com/track/01qoKBIhSo3AlowvoiKPqH
I Can't Wait,80's Freestyle,Nu Shooz,6cCIGX5ctuUGHj67DqUtfg,https://open.spotify.com/track/6cCIGX5ctuUGHj67DqUtfg
Fascinated - Rerecorded,They Called It Freestyle - 80's Dance Craze,Company B,3e6BoAOq7xF3IpDAn5DP5g,https://open.spotify.com/track/3e6BoAOq7xF3IpDAn5DP5g
Lookout Weekend,Lookout Weekend,Debbie Deb,0nA1wFwYTY1kQ5NOjqAwYe,https://open.spotify.com/track/0nA1wFwYTY1kQ5NOjqAwYe
Release Me,The Album,Angelina,0Adj9fQY9QurLs8xs1aFBG,https://open.spotify.com/track/0Adj9fQY9QurLs8xs1aFBG
Come Go with Me,Exposure,Exposé,5a3QwvHiJO4fKWJqsPkJvB,https://open.spotify.com/track/5a3QwvHiJO4fKWJqsPkJvB
Catch Me (I'm Falling),Catch Me I'm Falling,Pretty Poison,2MQ23MqDI0N9IVy8iaZddc,https://open.spotify.com/track/2MQ23MqDI0N9IVy8iaZddc
Take Me in Your Arms,Love Can't Wait,Lil Suzy,3EKiXW0H5BaJJFSSo73q3t,https://open.spotify.com/track/3EKiXW0H5BaJJFSSo73q3t
Let the Music Play,Let the Music Play,Shannon,6b9hm8mvZ2KH7Fl7LLA5ct,https://open.spotify.com/track/6b9hm8mvZ2KH7Fl7LLA5ct
Two of Hearts,Better Than Heaven,Stacey Q,2dURQIBrw3XcHyVZlfdpC1,https://open.spotify.com/track/2dURQIBrw3XcHyVZlfdpC1
(There's A) Party Goin' On,She’s Back,Debbie Deb,0Mtbdym9Zq1F6YuaaiRKq1,https://open.spotify.com/track/0Mtbdym9Zq1F6YuaaiRKq1
Point of No Return,Exposure,Exposé,0ozd432IdkUR3ItM8ieKt0,https://open.spotify.com/track/0ozd432IdkUR3ItM8ieKt0
A Little Bit of Ecstasy,Jocelyn,Jocelyn Enriquez,4gmcD7RZVO68JwIwtK0vpx,https://open.spotify.com/track/4gmcD7RZVO68JwIwtK0vpx
Straight Up,Forever Your Girl,Paula Abdul,5xl5582IihbEZAnfj0xyso,https://open.spotify.com/track/5xl5582IihbEZAnfj0xyso
Planet Rock,Planet Rock,"Afrika Bambaataa, The Soulsonic Force",3uy0jtkM8QYVTsBazkli1x,https://open.spotify.com/track/3uy0jtkM8QYVTsBazkli1x
Looking For A New Love - Radio Edit,20th Century Masters: The Millennium Collection: Best Of Jody Watley,"Jody Watley, Louil Silas Jr.",7BeV8s7R68eqPelMmvp5tu,https://open.spotify.com/track/7BeV8s7R68eqPelMmvp5tu
"Promises, Promises",Burning Bridges,Naked Eyes,1WTfYn4ifmZV1ZNHbaaAVT,https://open.spotify.com/track/1WTfYn4ifmZV1ZNHbaaAVT
They're Playing Our Song,Forever Yours,Trinere,0R27nAo0BWm90ZxCLPCvhu,https://open.spotify.com/track/0R27nAo0BWm90ZxCLPCvhu
Don't You Want Me,Jody Watley,"Jody Watley, Michael Hutchinson, Francois Kevorkian",7r4ZN8F22eBQeN0aMqwzgN,https://open.spotify.com/track/7r4ZN8F22eBQeN0aMqwzgN
Ready to Go,Republica,Republica,5Qt8U8Suu7MFH1VcJr17Td,https://open.spotify.com/track/5Qt8U8Suu7MFH1VcJr17Td
