# wed, By Drew Achtermann, https://open.spotify.com/playlist/1MKhcNSQUDMuxTwlr165W1
title,album,artist,id,url
Ven,Ven,"Dillon Francis, Arcangel, Quimico Ultra Mega",4E9VP2K0XOeLH80Ba2xZg4,https://open.spotify.com/track/4E9VP2K0XOeLH80Ba2xZg4
Powerglide (feat. Juicy J) - From SR3MM,SR3MM,"Rae Sremmurd, Swae Lee, Slim Jxmmi, Juicy J",1BuZAIO8WZpavWVbbq3Lci,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
HUMBLE.,DAMN.,Kendrick Lamar,7KXjTSCq5nL1LoYtL7XAwS,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
Everyday,Bobby Tarantino II,"Logic, Marshmello",4EAV2cKiqKP5UPZmY6dejk,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
Feedback (feat. Mina Knock),No Introduction EP,"Dr. Fresch, Mina Knock",4l2Y29470FwPeebV8czTG6,https://open.spotify.com/track/4l2Y29470FwPeebV8czTG6
Mind Tricks,Unlimited,"Bassnectar, G Jones, Lafa Taylor",11Cz8Naeb1fIOqtkkPVNzg,https://open.spotify.com/track/11Cz8Naeb1fIOqtkkPVNzg
"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2","Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) [from Deadpool 2]","Diplo, French Montana, Lil Pump, Zhavia Ward",5mqzhMuUpvnMfwNz6iepmO,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
Winded,Winded,"Bishu, Cadre",2zqK5oQ4uTJKyD5rwU8Kpk,https://open.spotify.com/track/2zqK5oQ4uTJKyD5rwU8Kpk
Crash Land - BIJOU Remix,Crash Land (The Remixes),"Crash Land, BIJOU",1vqhJStF9hmgkrP8DfYVic,https://open.spotify.com/track/1vqhJStF9hmgkrP8DfYVic
Loud (feat. Dendrityx & Melanie K.A.),Empire,"Mosh, Dendrityx, Melanie K.A.",4soY9bwEWcJwJOv1S5NWYY,https://open.spotify.com/track/4soY9bwEWcJwJOv1S5NWYY
"No Limit REMIX (feat. A$AP Rocky, French Montana, Juicy J & Belly)","No Limit REMIX (feat. A$AP Rocky, French Montana, Juicy J & Belly)","G-Eazy, A$AP Rocky, French Montana, Juicy J, Belly",4yfdnCOjuDwf2Ivpo8vg8H,https://open.spotify.com/track/4yfdnCOjuDwf2Ivpo8vg8H
2 MUCH (feat. 24hrs) (feat. 24hrs),2 MUCH (feat. 24hrs) (feat. 24hrs),"Flosstradamus, 24hrs",6lwxNGjvD1pFlXyNI2h9aH,https://open.spotify.com/track/6lwxNGjvD1pFlXyNI2h9aH
Love Song (feat. Splitbreed & Lazer Whip),Love Song (feat. Splitbreed & Lazer Whip),"RIOT, LAZER WHIP, SPLITBREED",5J6uPU7bFlkiBflfv66UH7,https://open.spotify.com/track/5J6uPU7bFlkiBflfv66UH7
BOOM,BOOM,"Tiësto, Sevenn, Gucci Mane",6iC7vapdKp0XlKhxOkp8QJ,https://open.spotify.com/track/6iC7vapdKp0XlKhxOkp8QJ
